tilesize,readcycles,bytes,GFLOPS
1,510.0,2048,4.015686274509804
2,842.0,4096,4.864608076009501
4,1789.0,8192,4.579094466182225
8,3408.0,16384,4.807511737089202
16,6841.0,32768,4.78994299079082
32,13859.0,65536,4.728768309401833
64,27801.0,131072,4.714650552138412
128,55600.0,262144,4.714820143884892
256,111192.0,524288,4.7151593639830205
512,222705.0,1048576,4.7083630812060795
1024,444472.0,2097152,4.718299465433143
2048,890080.0,4194304,4.712277548085566
4096,1780080.0,8388608,4.712489326322412
8192,3558504.0,16777216,4.714682349661543
16384,7118209.0,33554432,4.713886878005408
32768,14237417.0,67108864,4.71355611765814
65536,28473568.0,134217728,4.7137656931509255
131072,56942450.0,268435456,4.714153605965321
262144,113907225.0,536870912,4.713229665633589
524288,227861344.0,1073741824,4.712259680167603
1048576,455677745.0,2147483648,4.712724445210727
2097152,910944240.0,4294967296,4.714852026508231
