tilesize,readcycles,bytes,GFLOPS
1,531.0,2048,3.8568738229755177
2,903.0,4096,4.535991140642303
4,1950.0,8192,4.201025641025641
8,3643.0,16384,4.497392259127093
16,7387.0,32768,4.435900906998782
32,15037.0,65536,4.358316153488063
64,30406.0,131072,4.310728145760705
128,60235.0,262144,4.3520212501037605
256,121210.0,524288,4.32545169540467
512,242123.0,1048576,4.330757507547816
1024,484576.0,2097152,4.327808228224262
2048,968755.0,4194304,4.329581782803702
4096,1937506.0,8388608,4.329590721267444
8192,3875059.0,16777216,4.329538208321473
16384,7750365.0,33554432,4.329400228247315
32768,15500598.0,67108864,4.329437096555888
65536,31001901.0,134217728,4.329338642814194
131072,62003252.0,268435456,4.329377046223318
262144,124007053.0,536870912,4.329357879345782
524288,248014482.0,1073741824,4.329351315863886
1048576,496028826.0,2147483648,4.329352520331147
2097152,992057899.0,4294967296,4.329351442420197
