CHIP_FREQ[MHz]: 1000
core_x,core_y,RISC processor type,time[cycles since reset],zone name,type
0,0,BRISC,663115498773,BRISC-FW,ZONE_START
0,0,NCRISC,663115498924,NCRISC-FW,ZONE_START
0,0,TRISC_0,663115499030,TRISC-FW,ZONE_START
0,0,TRISC_2,663115499040,TRISC-FW,ZONE_START
0,0,TRISC_1,663115499041,TRISC-FW,ZONE_START
0,0,TRISC_1,663115499228,TRISC-KERNEL,ZONE_START
0,0,TRISC_1,663115499408,SRAM THROUGHPUT_SECTION,ZONE_START
0,0,TRISC_2,663115499446,TRISC-KERNEL,ZONE_START
0,0,TRISC_0,663115499447,TRISC-KERNEL,ZONE_START
0,0,TRISC_1,663115499464,SRAM THROUGHPUT_SECTION,ZONE_END
0,0,TRISC_1,663115499503,SRAM THROUGHPUT_SECTION,ZONE_START
0,0,TRISC_1,663115499557,SRAM THROUGHPUT_SECTION,ZONE_END
0,0,NCRISC,663115499580,NCRISC-KERNEL,ZONE_START
0,0,TRISC_1,663115499600,SRAM THROUGHPUT_SECTION,ZONE_START
0,0,BRISC,663115499619,BRISC-KERNEL,ZONE_START
0,0,TRISC_0,663115499717,SRAM THROUGHPUT_SECTION,ZONE_START
0,0,TRISC_2,663115499735,SRAM THROUGHPUT_SECTION,ZONE_START
0,0,TRISC_2,663115499838,SRAM THROUGHPUT_SECTION,ZONE_END
0,0,TRISC_2,663115499877,SRAM THROUGHPUT_SECTION,ZONE_START
0,0,TRISC_0,663115501769,SRAM THROUGHPUT_SECTION,ZONE_END
0,0,TRISC_0,663115501809,SRAM THROUGHPUT_SECTION,ZONE_START
0,0,TRISC_1,663115501870,SRAM THROUGHPUT_SECTION,ZONE_END
0,0,TRISC_2,663115501888,SRAM THROUGHPUT_SECTION,ZONE_END
0,0,TRISC_1,663115501918,SRAM THROUGHPUT_SECTION,ZONE_START
0,0,TRISC_2,663115501944,SRAM THROUGHPUT_SECTION,ZONE_START
0,0,TRISC_0,663115503614,SRAM THROUGHPUT_SECTION,ZONE_END
0,0,TRISC_0,663115503666,SRAM THROUGHPUT_SECTION,ZONE_START
0,0,TRISC_1,663115503715,SRAM THROUGHPUT_SECTION,ZONE_END
0,0,TRISC_2,663115503738,SRAM THROUGHPUT_SECTION,ZONE_END
0,0,TRISC_1,663115503744,TRISC-KERNEL,ZONE_END
0,0,TRISC_2,663115503777,SRAM THROUGHPUT_SECTION,ZONE_START
0,0,TRISC_0,663115505658,SRAM THROUGHPUT_SECTION,ZONE_END
0,0,TRISC_0,663115505702,SRAM THROUGHPUT_SECTION,ZONE_START
0,0,TRISC_2,663115505780,SRAM THROUGHPUT_SECTION,ZONE_END
0,0,TRISC_2,663115505820,TRISC-KERNEL,ZONE_END
0,0,NCRISC,663115507512,NCRISC-KERNEL,ZONE_END
0,0,TRISC_0,663115507569,SRAM THROUGHPUT_SECTION,ZONE_END
0,0,TRISC_0,663115507606,TRISC-KERNEL,ZONE_END
0,0,NCRISC,663115507635,NCRISC-FW,ZONE_END
0,0,TRISC_0,663115507658,TRISC-FW,ZONE_END
0,0,TRISC_1,663115507682,TRISC-FW,ZONE_END
0,0,TRISC_2,663115507780,TRISC-FW,ZONE_END
0,0,BRISC,663115508291,BRISC-KERNEL,ZONE_END
0,0,BRISC,663115508481,BRISC-FW,ZONE_END
