start_us,end_us,core,state
39416554191.0,39416554301.0,0,active
39416554301.0,39416554309.0,0,active
39416554301.0,39416554309.0,0,idle
39416554309.0,39416554316.0,0,active
39416554309.0,39416554316.0,0,idle
39416554316.0,39416554318.0,0,active
39416554318.0,39416554324.0,0,stall
39416554318.0,39416554324.0,0,idle
39416554324.0,39416554327.0,0,stall
39416554327.0,39416554330.0,0,stall
39416554330.0,39416554334.0,0,stall
39416554334.0,39416554337.0,0,stall
39416554337.0,39416554340.0,0,stall
39416554340.0,39416554344.0,0,stall
39416554344.0,39416554347.0,0,stall
39416554347.0,39416554350.0,0,stall
39416554350.0,39416554354.0,0,stall
39416554354.0,39416554357.0,0,stall
39416554357.0,39416554361.0,0,stall
39416554361.0,39416554368.0,0,stall
39416554361.0,39416554368.0,0,idle
39416554368.0,39416554371.0,0,active
39416554371.0,39416554374.0,0,stall
39416554374.0,39416554377.0,0,stall
39416554377.0,39416554381.0,0,stall
39416554381.0,39416554384.0,0,stall
39416554384.0,39416554387.0,0,stall
39416554387.0,39416554390.0,0,stall
39416554390.0,39416554394.0,0,stall
39416554394.0,39416554397.0,0,stall
39416554397.0,39416554400.0,0,stall
39416554400.0,39416554404.0,0,stall
39416554404.0,39416554407.0,0,stall
39416554407.0,39416554411.0,0,stall
39416554411.0,39416554414.0,0,stall
39416554414.0,39416554417.0,0,stall
39416554417.0,39416554421.0,0,stall
39416554421.0,39416554424.0,0,stall
39416554424.0,39416554428.0,0,stall
39416554428.0,39416554435.0,0,stall
39416554428.0,39416554435.0,0,idle
39416554435.0,39416554438.0,0,active
39416554438.0,39416554441.0,0,stall
39416554441.0,39416554445.0,0,stall
39416554445.0,39416554448.0,0,stall
39416554448.0,39416554451.0,0,stall
39416554451.0,39416554455.0,0,stall
39416554455.0,39416554458.0,0,stall
39416554458.0,39416554461.0,0,stall
39416554461.0,39416554465.0,0,stall
39416554465.0,39416554468.0,0,stall
39416554468.0,39416554471.0,0,stall
39416554471.0,39416554475.0,0,stall
39416554475.0,39416554479.0,0,stall
39416554479.0,39416554482.0,0,stall
39416554482.0,39416554485.0,0,stall
39416554485.0,39416554489.0,0,stall
39416554489.0,39416554492.0,0,stall
39416554492.0,39416554499.0,0,idle
39416554492.0,39416554499.0,0,stall
39416554499.0,39416554503.0,0,active
39416554503.0,39416554506.0,0,stall
39416554506.0,39416554509.0,0,stall
39416554509.0,39416554513.0,0,stall
39416554513.0,39416554516.0,0,stall
39416554516.0,39416554529.0,0,idle
39416554516.0,39416554529.0,0,stall
39416554529.0,39416554533.0,0,stall
39416554533.0,39416554536.0,0,stall
39416554536.0,39416554539.0,0,stall
39416554539.0,39416554543.0,0,stall
39416554543.0,39416554546.0,0,stall
39416554546.0,39416554550.0,0,stall
39416554550.0,39416554553.0,0,stall
39416554553.0,39416554560.0,0,stall
39416554553.0,39416554560.0,0,idle
39416554560.0,39416554563.0,0,active
39416554563.0,39416554567.0,0,stall
39416554567.0,39416554570.0,0,stall
39416554570.0,39416554573.0,0,stall
39416554573.0,39416554577.0,0,stall
39416554577.0,39416554580.0,0,stall
39416554580.0,39416554584.0,0,stall
39416554584.0,39416554587.0,0,stall
39416554587.0,39416554590.0,0,stall
39416554590.0,39416554594.0,0,stall
39416554594.0,39416554597.0,0,stall
39416554597.0,39416554601.0,0,stall
39416554601.0,39416554604.0,0,stall
39416554604.0,39416554607.0,0,stall
39416554607.0,39416554611.0,0,stall
39416554611.0,39416554614.0,0,stall
39416554614.0,39416554635.0,0,stall
39416554614.0,39416554635.0,0,idle
39416554635.0,39416554639.0,0,stall
39416554639.0,39416554643.0,0,stall
39416554643.0,39416554646.0,0,stall
39416554646.0,39416554649.0,0,stall
39416554649.0,39416554656.0,0,stall
39416554649.0,39416554656.0,0,idle
39416554656.0,39416554660.0,0,active
39416554660.0,39416554663.0,0,stall
39416554663.0,39416554666.0,0,stall
39416554666.0,39416554670.0,0,stall
39416554670.0,39416554674.0,0,stall
39416554674.0,39416554677.0,0,stall
39416554677.0,39416554680.0,0,stall
39416554680.0,39416554684.0,0,stall
39416554684.0,39416554687.0,0,stall
39416554687.0,39416554690.0,0,stall
39416554690.0,39416554693.0,0,stall
39416554693.0,39416554697.0,0,stall
39416554697.0,39416554700.0,0,stall
39416554700.0,39416554703.0,0,stall
39416554703.0,39416554707.0,0,stall
39416554707.0,39416554710.0,0,stall
39416554710.0,39416554718.0,0,stall
39416554710.0,39416554718.0,0,idle
39416554718.0,39416554721.0,0,active
39416554721.0,39416554724.0,0,stall
39416554724.0,39416554727.0,0,stall
39416554727.0,39416554732.0,0,stall
39416554732.0,39416554735.0,0,stall
39416554735.0,39416554739.0,0,stall
39416554739.0,39416554742.0,0,stall
39416554742.0,39416554746.0,0,stall
39416554746.0,39416554749.0,0,stall
39416554749.0,39416554753.0,0,stall
39416554753.0,39416554765.0,0,idle
39416554753.0,39416554765.0,0,stall
39416554765.0,39416554769.0,0,stall
39416554769.0,39416554773.0,0,stall
39416554773.0,39416554776.0,0,stall
39416554776.0,39416554783.0,0,stall
39416554776.0,39416554783.0,0,idle
39416554783.0,39416554786.0,0,active
39416554786.0,39416555786.0,0,active
