start_us,end_us,core,state,work_done,pressure_flag
0.0,1.0,0,idle,0.0,0
1.0,2.0,0,active,0.0,0
2.0,6.0,0,stall,0.0,0
6.0,14.0,0,stall,0.0,0
14.0,15.0,0,active,1.0,0
15.0,16.0,0,active,1.0,0
16.0,17.0,0,active,1.0,0
17.0,18.0,0,active,1.0,0
18.0,19.0,0,active,1.0,0
19.0,20.0,0,active,1.0,0
20.0,21.0,0,active,0.0,0
21.0,29.0,0,stall,0.0,0
29.0,30.0,0,active,1.0,0
30.0,31.0,0,active,1.0,0
31.0,32.0,0,active,0.0,0
32.0,36.0,0,stall,0.0,0
36.0,37.0,0,active,1.0,0
37.0,38.0,0,active,1.0,0
38.0,39.0,0,active,1.0,0
39.0,40.0,0,active,0.0,0
40.0,48.0,0,stall,0.0,0
48.0,49.0,0,active,1.0,0
49.0,50.0,0,active,1.0,0
50.0,51.0,0,active,1.0,0
51.0,52.0,0,active,1.0,0
52.0,53.0,0,active,1.0,0
53.0,54.0,0,active,0.0,0
54.0,58.0,0,stall,0.0,0
58.0,59.0,0,active,0.0,0
59.0,67.0,0,stall,0.0,0
67.0,68.0,0,active,1.0,0
68.0,69.0,0,active,1.0,0
69.0,70.0,0,active,1.0,0
70.0,71.0,0,active,1.0,0
71.0,72.0,0,active,1.0,0
72.0,73.0,0,active,1.0,0
73.0,74.0,0,active,0.0,0
74.0,82.0,0,stall,0.0,0
82.0,83.0,0,active,1.0,0
83.0,84.0,0,active,0.0,0
84.0,88.0,0,stall,0.0,0
88.0,89.0,0,active,1.0,0
89.0,90.0,0,active,1.0,0
90.0,91.0,0,active,1.0,0
91.0,92.0,0,active,1.0,0
92.0,93.0,0,active,0.0,0
93.0,101.0,0,stall,0.0,0
101.0,102.0,0,active,1.0,0
102.0,103.0,0,active,1.0,0
103.0,104.0,0,active,1.0,0
104.0,105.0,0,active,1.0,0
105.0,106.0,0,active,0.0,0
106.0,110.0,0,stall,0.0,0
110.0,111.0,0,active,1.0,0
111.0,112.0,0,active,0.0,0
112.0,120.0,0,stall,0.0,0
120.0,121.0,0,active,1.0,0
121.0,122.0,0,active,1.0,0
122.0,123.0,0,active,1.0,0
123.0,124.0,0,active,1.0,0
124.0,125.0,0,active,1.0,0
125.0,126.0,0,active,1.0,0
126.0,127.0,0,active,0.0,0
127.0,135.0,0,stall,0.0,0
135.0,136.0,0,active,0.0,0
136.0,140.0,0,stall,0.0,0
140.0,141.0,0,active,1.0,0
141.0,142.0,0,active,1.0,0
142.0,143.0,0,active,1.0,0
143.0,144.0,0,active,1.0,0
144.0,145.0,0,active,1.0,0
145.0,146.0,0,active,0.0,0
146.0,154.0,0,stall,0.0,0
154.0,155.0,0,active,1.0,0
155.0,156.0,0,active,1.0,0
156.0,157.0,0,active,1.0,0
157.0,158.0,0,active,0.0,0
158.0,162.0,0,stall,0.0,0
162.0,163.0,0,active,1.0,0
163.0,164.0,0,active,1.0,0
164.0,165.0,0,active,0.0,0
165.0,173.0,0,stall,0.0,0
173.0,174.0,0,active,1.0,0
174.0,175.0,0,active,1.0,0
175.0,176.0,0,active,1.0,0
176.0,177.0,0,active,1.0,0
177.0,178.0,0,active,1.0,0
178.0,179.0,0,active,1.0,0
179.0,180.0,0,active,0.0,0
180.0,184.0,0,stall,0.0,0
184.0,192.0,0,stall,0.0,0
192.0,193.0,0,active,1.0,0
193.0,194.0,0,active,1.0,0
194.0,195.0,0,active,1.0,0
195.0,196.0,0,active,1.0,0
196.0,197.0,0,active,1.0,0
197.0,198.0,0,active,1.0,0
198.0,199.0,0,active,0.0,0
199.0,207.0,0,stall,0.0,0
207.0,208.0,0,active,1.0,0
208.0,209.0,0,active,1.0,0
209.0,210.0,0,active,0.0,0
210.0,214.0,0,stall,0.0,0
214.0,215.0,0,active,1.0,0
215.0,216.0,0,active,1.0,0
216.0,217.0,0,active,1.0,0
217.0,218.0,0,active,0.0,0
218.0,226.0,0,stall,0.0,0
226.0,227.0,0,active,1.0,0
227.0,228.0,0,active,1.0,0
228.0,229.0,0,active,1.0,0
229.0,230.0,0,active,1.0,0
230.0,231.0,0,active,1.0,0
231.0,232.0,0,active,0.0,0
232.0,236.0,0,stall,0.0,0
236.0,237.0,0,active,0.0,0
237.0,245.0,0,stall,0.0,0
245.0,246.0,0,active,1.0,0
246.0,247.0,0,active,1.0,0
247.0,248.0,0,active,1.0,0
248.0,249.0,0,active,1.0,0
249.0,250.0,0,active,1.0,0
250.0,251.0,0,active,1.0,0
251.0,252.0,0,active,0.0,0
252.0,260.0,0,stall,0.0,0
260.0,261.0,0,active,1.0,0
261.0,262.0,0,active,0.0,0
262.0,266.0,0,stall,0.0,0
266.0,267.0,0,active,1.0,0
267.0,268.0,0,active,1.0,0
268.0,269.0,0,active,1.0,0
269.0,270.0,0,active,1.0,0
270.0,271.0,0,active,0.0,0
271.0,279.0,0,stall,0.0,0
279.0,280.0,0,active,1.0,0
280.0,281.0,0,active,1.0,0
281.0,282.0,0,active,1.0,0
282.0,283.0,0,active,1.0,0
283.0,284.0,0,active,0.0,0
284.0,288.0,0,stall,0.0,0
288.0,289.0,0,active,1.0,0
289.0,290.0,0,active,0.0,0
290.0,298.0,0,stall,0.0,0
298.0,299.0,0,active,1.0,0
299.0,300.0,0,active,1.0,0
300.0,301.0,0,active,1.0,0
301.0,302.0,0,active,1.0,0
302.0,303.0,0,active,1.0,0
303.0,304.0,0,active,1.0,0
304.0,305.0,0,active,0.0,0
305.0,313.0,0,stall,0.0,0
313.0,314.0,0,active,0.0,0
314.0,318.0,0,stall,0.0,0
318.0,319.0,0,active,1.0,0
319.0,320.0,0,active,1.0,0
320.0,321.0,0,active,1.0,0
321.0,322.0,0,active,1.0,0
322.0,323.0,0,active,1.0,0
323.0,324.0,0,active,0.0,0
324.0,332.0,0,stall,0.0,0
332.0,333.0,0,active,1.0,0
333.0,334.0,0,active,1.0,0
334.0,335.0,0,active,1.0,0
335.0,336.0,0,active,0.0,0
336.0,340.0,0,stall,0.0,0
340.0,341.0,0,active,1.0,0
341.0,342.0,0,active,1.0,0
342.0,343.0,0,active,0.0,0
343.0,351.0,0,stall,0.0,0
351.0,352.0,0,active,1.0,0
352.0,353.0,0,active,1.0,0
353.0,354.0,0,active,1.0,0
354.0,355.0,0,active,1.0,0
355.0,356.0,0,active,1.0,0
356.0,357.0,0,active,1.0,0
357.0,358.0,0,active,0.0,0
358.0,362.0,0,stall,0.0,0
362.0,370.0,0,stall,0.0,0
370.0,371.0,0,active,1.0,0
371.0,372.0,0,active,1.0,0
372.0,373.0,0,active,1.0,0
373.0,374.0,0,active,1.0,0
374.0,375.0,0,active,1.0,0
375.0,376.0,0,active,1.0,0
376.0,377.0,0,active,0.0,0
377.0,385.0,0,stall,0.0,0
385.0,386.0,0,active,1.0,0
386.0,387.0,0,active,1.0,0
387.0,388.0,0,active,0.0,0
388.0,392.0,0,stall,0.0,0
392.0,393.0,0,active,1.0,0
393.0,394.0,0,active,1.0,0
394.0,395.0,0,active,1.0,0
395.0,396.0,0,active,0.0,0
396.0,404.0,0,stall,0.0,0
404.0,405.0,0,active,1.0,0
