start_us,end_us,core,state
40201891243.0,40201891370.0,0,active
40201891370.0,40201891379.0,0,active
40201891370.0,40201891379.0,0,idle
40201891379.0,40201891421.0,0,active
40201891421.0,40201891430.0,0,active
40201891421.0,40201891430.0,0,idle
40201891430.0,40201891435.0,0,active
40201891435.0,40201891468.0,0,active
40201891468.0,40201891475.0,0,active
40201891468.0,40201891475.0,0,idle
40201891475.0,40201891512.0,0,active
40201891512.0,40201891535.0,0,idle
40201891512.0,40201891535.0,0,active
40201891535.0,40201891542.0,0,active
40201891535.0,40201891542.0,0,idle
40201891542.0,40201891545.0,0,active
40201891545.0,40201891562.0,0,active
40201891562.0,40201891587.0,0,active
40201891562.0,40201891587.0,0,idle
40201891587.0,40201891616.0,0,active
40201891616.0,40201891640.0,0,active
40201891616.0,40201891640.0,0,idle
40201891640.0,40201891653.0,0,active
40201891653.0,40201891661.0,0,idle
40201891653.0,40201891661.0,0,active
40201891661.0,40201892661.0,0,active
