flag_mode,sit_median_mean,workload
none,0.334462,fm_loopback
none,0.649602,fm_mm
none,0.623705,fm_sparse
none,0.578389,fm_read
none,0.570589,fm_write
branch_mispredict,0.094689,fm_loopback
branch_mispredict,0.562599,fm_mm
branch_mispredict,0.537588,fm_sparse
branch_mispredict,0.344894,fm_read
branch_mispredict,0.334089,fm_write
cache_pressure,0.048715,fm_loopback
cache_pressure,0.580605,fm_mm
cache_pressure,0.475664,fm_sparse
cache_pressure,0.248509,fm_read
cache_pressure,0.239148,fm_write
both,0.011639,fm_loopback
both,0.347127,fm_mm
both,0.286972,fm_sparse
both,0.052955,fm_read
both,0.050223,fm_write
