diff_rows_window_vs_global,global_mode,global_summary_sit,resident_rows,stem,window_mode
31252,global_active,0.000481500000,31252,trace_0001__all,window_active
67,global_active,0.224580223881,67,trace_0001__base,window_active
0,global_active,0.000000000000,4,trace_0001__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0001__partial,window_active
31248,global_active,0.000481561640,31248,trace_0001__skip_w0,window_active
31252,global_active,0.000482000000,31252,trace_0002__all,window_active
331,global_active,0.045506042296,331,trace_0002__base,window_active
0,global_active,0.000000000000,4,trace_0002__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0002__partial,window_active
31248,global_active,0.000482061704,31248,trace_0002__skip_w0,window_active
31252,global_active,0.000546000000,31252,trace_0003__all,window_active
202,global_active,0.084467821782,202,trace_0003__base,window_active
0,global_active,0.000000000000,4,trace_0003__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0003__partial,window_active
31248,global_active,0.000546069897,31248,trace_0003__skip_w0,window_active
31252,global_active,0.000547000000,31252,trace_0004__all,window_active
1490,global_active,0.011472315436,1490,trace_0004__base,window_active
0,global_active,0.000000000000,4,trace_0004__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0004__partial,window_active
31248,global_active,0.000547070025,31248,trace_0004__skip_w0,window_active
31252,global_active,0.019883500000,31252,trace_0005__all,window_active
1021,global_active,0.608579211557,1021,trace_0005__base,window_active
0,global_active,0.000000000000,4,trace_0005__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0005__partial,window_active
31248,global_active,0.019886045414,31248,trace_0005__skip_w0,window_active
31252,global_active,0.022829625000,31252,trace_0006__all,window_active
1293,global_active,0.551760078306,1293,trace_0006__base,window_active
0,global_active,0.000000000000,4,trace_0006__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0006__partial,window_active
31248,global_active,0.022832547566,31248,trace_0006__skip_w0,window_active
31252,global_active,0.022861000000,31252,trace_0007__all,window_active
1334,global_active,0.535536919040,1334,trace_0007__base,window_active
0,global_active,0.000000000000,4,trace_0007__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0007__partial,window_active
31248,global_active,0.022863926583,31248,trace_0007__skip_w0,window_active
31252,global_active,0.025807625000,31252,trace_0008__all,window_active
2388,global_active,0.337725410909,2388,trace_0008__base,window_active
0,global_active,0.000000000000,4,trace_0008__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0008__partial,window_active
