start_us,end_us,core,state
0.0,234292.0,0,idle
234292.0,234293.0,0,idle
234293.0,234295.0,0,stall
234295.0,234296.0,0,idle
234296.0,234297.0,0,stall
234297.0,234299.0,0,active
234299.0,234300.0,0,idle
234300.0,234301.0,0,stall
234301.0,234308.0,0,active
234308.0,234310.0,0,stall
234310.0,234313.0,0,active
234313.0,234315.0,0,stall
234315.0,234316.0,0,active
234316.0,234318.0,0,stall
234318.0,234320.0,0,active
234320.0,234321.0,0,idle
234321.0,234322.0,0,stall
234322.0,234329.0,0,active
234329.0,234331.0,0,stall
234331.0,234334.0,0,active
234334.0,234336.0,0,stall
234336.0,234337.0,0,active
234337.0,234339.0,0,stall
234339.0,234341.0,0,active
234341.0,234342.0,0,idle
234342.0,234343.0,0,stall
234343.0,234350.0,0,active
234350.0,234352.0,0,stall
234352.0,234355.0,0,active
234355.0,234357.0,0,stall
234357.0,234358.0,0,active
234358.0,234360.0,0,stall
234360.0,234362.0,0,active
234362.0,234363.0,0,idle
234363.0,234364.0,0,stall
234364.0,234371.0,0,active
234371.0,234373.0,0,stall
234373.0,234376.0,0,active
234376.0,234378.0,0,stall
234378.0,234379.0,0,active
234379.0,234381.0,0,stall
234381.0,234383.0,0,active
234383.0,234384.0,0,idle
234384.0,234385.0,0,stall
234385.0,234392.0,0,active
234392.0,234394.0,0,stall
234394.0,234397.0,0,active
234397.0,234399.0,0,stall
234399.0,234400.0,0,active
234400.0,234402.0,0,stall
234402.0,234404.0,0,active
234404.0,234405.0,0,idle
234405.0,234406.0,0,stall
234406.0,234413.0,0,active
234413.0,234415.0,0,stall
234415.0,234418.0,0,active
234418.0,234420.0,0,stall
234420.0,234421.0,0,active
234421.0,234423.0,0,stall
234423.0,234425.0,0,active
234425.0,234426.0,0,idle
234426.0,234427.0,0,stall
234427.0,234434.0,0,active
234434.0,234436.0,0,stall
234436.0,234439.0,0,active
234439.0,234441.0,0,stall
234441.0,234442.0,0,active
234442.0,234444.0,0,stall
234444.0,234446.0,0,active
234446.0,234447.0,0,idle
234447.0,234448.0,0,stall
234448.0,234455.0,0,active
234455.0,234457.0,0,stall
234457.0,234460.0,0,active
234460.0,234462.0,0,stall
234462.0,234463.0,0,active
234463.0,234465.0,0,stall
234465.0,234467.0,0,active
234467.0,234468.0,0,idle
234468.0,234469.0,0,stall
234469.0,234476.0,0,active
234476.0,234478.0,0,stall
234478.0,234481.0,0,active
234481.0,234483.0,0,stall
234483.0,234484.0,0,active
234484.0,234486.0,0,stall
234486.0,234488.0,0,active
234488.0,234489.0,0,idle
234489.0,234490.0,0,stall
234490.0,234497.0,0,active
234497.0,234499.0,0,stall
234499.0,234502.0,0,active
234502.0,234504.0,0,stall
234504.0,234505.0,0,active
234505.0,234507.0,0,stall
234507.0,234509.0,0,active
234509.0,234510.0,0,idle
234510.0,234511.0,0,stall
234511.0,234518.0,0,active
234518.0,234520.0,0,stall
234520.0,234523.0,0,active
234523.0,234525.0,0,stall
234525.0,234526.0,0,active
234526.0,234528.0,0,stall
234528.0,234530.0,0,active
234530.0,234531.0,0,idle
234531.0,234532.0,0,stall
234532.0,234539.0,0,active
234539.0,234541.0,0,stall
234541.0,234544.0,0,active
234544.0,234546.0,0,stall
234546.0,234547.0,0,active
234547.0,234549.0,0,stall
234549.0,234551.0,0,active
234551.0,234552.0,0,idle
234552.0,234553.0,0,stall
234553.0,234560.0,0,active
234560.0,234562.0,0,stall
234562.0,234565.0,0,active
234565.0,234567.0,0,stall
234567.0,234568.0,0,active
234568.0,234570.0,0,stall
234570.0,234572.0,0,active
234572.0,234573.0,0,idle
234573.0,234574.0,0,stall
234574.0,234581.0,0,active
234581.0,234583.0,0,stall
234583.0,234586.0,0,active
234586.0,234588.0,0,stall
234588.0,234589.0,0,active
234589.0,234591.0,0,stall
234591.0,234593.0,0,active
234593.0,234594.0,0,idle
234594.0,234595.0,0,stall
234595.0,234602.0,0,active
234602.0,234604.0,0,stall
234604.0,234607.0,0,active
234607.0,234609.0,0,stall
234609.0,234610.0,0,active
234610.0,234612.0,0,stall
234612.0,234614.0,0,active
234614.0,234615.0,0,idle
234615.0,234616.0,0,stall
234616.0,234623.0,0,active
234623.0,234625.0,0,stall
234625.0,234628.0,0,active
