flag_mode,sit_median_mean,workload
none,0.710294,fm_loopback
none,0.967825,fm_mm
none,0.979284,fm_sparse
none,0.931913,fm_read
none,0.931913,fm_write
branch_mispredict,0.402755,fm_loopback
branch_mispredict,0.933336,fm_mm
branch_mispredict,0.944502,fm_sparse
branch_mispredict,0.854895,fm_read
branch_mispredict,0.854895,fm_write
cache_pressure,0.282456,fm_loopback
cache_pressure,0.925334,fm_mm
cache_pressure,0.895647,fm_sparse
cache_pressure,0.791667,fm_read
cache_pressure,0.791667,fm_write
both,0.238231,fm_loopback
both,0.731113,fm_mm
both,0.725840,fm_sparse
both,0.400755,fm_read
both,0.400755,fm_write
