diff_rows_window_vs_global,global_mode,global_summary_sit,resident_rows,stem,window_mode
31252,global_active,0.000120750000,31252,trace_0001__all,window_active
32,global_active,0.117919921875,32,trace_0001__base,window_active
0,global_active,0.000000000000,4,trace_0001__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0001__partial,window_active
31248,global_active,0.000120765458,31248,trace_0001__skip_w0,window_active
31252,global_active,0.000120750000,31252,trace_0002__all,window_active
38,global_active,0.099300986842,38,trace_0002__base,window_active
0,global_active,0.000000000000,4,trace_0002__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0002__partial,window_active
31248,global_active,0.000120765458,31248,trace_0002__skip_w0,window_active
31252,global_active,0.000120625000,31252,trace_0003__all,window_active
34,global_active,0.110868566176,34,trace_0003__base,window_active
0,global_active,0.000000000000,4,trace_0003__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0003__partial,window_active
31248,global_active,0.000120640442,31248,trace_0003__skip_w0,window_active
31252,global_active,0.000377000000,31252,trace_0004__all,window_active
75,global_active,0.157083333333,75,trace_0004__base,window_active
0,global_active,0.000000000000,4,trace_0004__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0004__partial,window_active
31248,global_active,0.000377048262,31248,trace_0004__skip_w0,window_active
31252,global_active,0.002500375000,31252,trace_0005__all,window_active
107,global_active,0.730249707944,107,trace_0005__base,window_active
0,global_active,0.000000000000,4,trace_0005__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0005__partial,window_active
31248,global_active,0.002500695089,31248,trace_0005__skip_w0,window_active
31252,global_active,0.002628875000,31252,trace_0006__all,window_active
115,global_active,0.714368206522,115,trace_0006__base,window_active
0,global_active,0.000000000000,4,trace_0006__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0006__partial,window_active
31248,global_active,0.002629211539,31248,trace_0006__skip_w0,window_active
31252,global_active,0.002980375000,31252,trace_0007__all,window_active
126,global_active,0.739180307540,126,trace_0007__base,window_active
0,global_active,0.000000000000,4,trace_0007__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0007__partial,window_active
31248,global_active,0.002980756537,31248,trace_0007__skip_w0,window_active
31252,global_active,0.003108875000,31252,trace_0008__all,window_active
159,global_active,0.611021029874,159,trace_0008__base,window_active
0,global_active,0.000000000000,4,trace_0008__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0008__partial,window_active
31248,global_active,0.003109272987,31248,trace_0008__skip_w0,window_active
31252,global_active,0.002700375000,31252,trace_0009__all,window_active
112,global_active,0.753452845982,112,trace_0009__base,window_active
0,global_active,0.000000000000,4,trace_0009__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0009__partial,window_active
31248,global_active,0.002700720692,31248,trace_0009__skip_w0,window_active
31252,global_active,0.002700375000,31252,trace_0010__all,window_active
121,global_active,0.697410898760,121,trace_0010__base,window_active
0,global_active,0.000000000000,4,trace_0010__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0010__partial,window_active
31248,global_active,0.002700720692,31248,trace_0010__skip_w0,window_active
31252,global_active,0.003180375000,31252,trace_0011__all,window_active
132,global_active,0.752929687500,132,trace_0011__base,window_active
0,global_active,0.000000000000,4,trace_0011__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0011__partial,window_active
31248,global_active,0.003180782140,31248,trace_0011__skip_w0,window_active
31252,global_active,0.003212750000,31252,trace_0012__all,window_active
165,global_active,0.608475378788,165,trace_0012__base,window_active
0,global_active,0.000000000000,4,trace_0012__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0012__partial,window_active
31248,global_active,0.003213161285,31248,trace_0012__skip_w0,window_active
31252,global_active,0.000672375000,31252,trace_0013__all,window_active
112,global_active,0.187604631696,112,trace_0013__base,window_active
0,global_active,0.000000000000,4,trace_0013__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0013__partial,window_active
31248,global_active,0.000672461075,31248,trace_0013__skip_w0,window_active
31252,global_active,0.000676875000,31252,trace_0014__all,window_active
116,global_active,0.182347790948,116,trace_0014__base,window_active
0,global_active,0.000000000000,4,trace_0014__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0014__partial,window_active
31248,global_active,0.000676961651,31248,trace_0014__skip_w0,window_active
31252,global_active,0.000672375000,31252,trace_0015__all,window_active
114,global_active,0.184313322368,114,trace_0015__base,window_active
0,global_active,0.000000000000,4,trace_0015__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0015__partial,window_active
31248,global_active,0.000672461075,31248,trace_0015__skip_w0,window_active
31252,global_active,0.000676875000,31252,trace_0016__all,window_active
142,global_active,0.148960167254,142,trace_0016__base,window_active
0,global_active,0.000000000000,4,trace_0016__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0016__partial,window_active
31248,global_active,0.000676961651,31248,trace_0016__skip_w0,window_active
31252,global_active,0.000672375000,31252,trace_0017__all,window_active
49,global_active,0.428810586735,49,trace_0017__base,window_active
0,global_active,0.000000000000,4,trace_0017__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0017__partial,window_active
31248,global_active,0.000672461075,31248,trace_0017__skip_w0,window_active
31252,global_active,0.000676875000,31252,trace_0018__all,window_active
52,global_active,0.406775841346,52,trace_0018__base,window_active
0,global_active,0.000000000000,4,trace_0018__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0018__partial,window_active
31248,global_active,0.000676961651,31248,trace_0018__skip_w0,window_active
31252,global_active,0.000672375000,31252,trace_0019__all,window_active
50,global_active,0.420234375000,50,trace_0019__base,window_active
0,global_active,0.000000000000,4,trace_0019__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0019__partial,window_active
31248,global_active,0.000672461075,31248,trace_0019__skip_w0,window_active
31252,global_active,0.000676875000,31252,trace_0020__all,window_active
78,global_active,0.271183894231,78,trace_0020__base,window_active
0,global_active,0.000000000000,4,trace_0020__exact_boundary,window_active
0,global_active,0.000000000000,12,trace_0020__partial,window_active
31248,global_active,0.000676961651,31248,trace_0020__skip_w0,window_active
