start_us,end_us,core,state
0.0,6501.0,0,idle
6501.0,6502.0,0,idle
6502.0,6503.0,0,active
6503.0,6504.0,0,stall
6504.0,6681.0,0,active
6681.0,6682.0,0,stall
6682.0,6700.0,0,active
6700.0,6701.0,0,stall
6701.0,6878.0,0,active
6878.0,6879.0,0,stall
6879.0,6897.0,0,active
6897.0,6898.0,0,stall
6898.0,7075.0,0,active
7075.0,7076.0,0,stall
7076.0,7094.0,0,active
7094.0,7095.0,0,stall
7095.0,7272.0,0,active
7272.0,7273.0,0,stall
7273.0,7291.0,0,active
7291.0,7292.0,0,stall
7292.0,7469.0,0,active
7469.0,7470.0,0,stall
7470.0,7488.0,0,active
7488.0,7489.0,0,stall
7489.0,7666.0,0,active
7666.0,7667.0,0,stall
7667.0,7685.0,0,active
7685.0,7686.0,0,stall
7686.0,7863.0,0,active
7863.0,7864.0,0,stall
7864.0,7882.0,0,active
7882.0,7883.0,0,stall
7883.0,8060.0,0,active
8060.0,8061.0,0,stall
8061.0,8079.0,0,active
8079.0,8080.0,0,stall
8080.0,8257.0,0,active
8257.0,8258.0,0,stall
8258.0,8276.0,0,active
8276.0,8277.0,0,stall
8277.0,8454.0,0,active
8454.0,8455.0,0,stall
8455.0,8473.0,0,active
8473.0,8474.0,0,stall
8474.0,8651.0,0,active
8651.0,8652.0,0,stall
8652.0,8670.0,0,active
8670.0,8671.0,0,stall
8671.0,8848.0,0,active
8848.0,8849.0,0,stall
8849.0,8867.0,0,active
8867.0,8868.0,0,stall
8868.0,9045.0,0,active
9045.0,9046.0,0,stall
9046.0,9064.0,0,active
9064.0,9065.0,0,stall
9065.0,9242.0,0,active
9242.0,9243.0,0,stall
9243.0,9261.0,0,active
9261.0,9262.0,0,stall
9262.0,9439.0,0,active
9439.0,9440.0,0,stall
9440.0,9458.0,0,active
9458.0,9459.0,0,stall
9459.0,9636.0,0,active
9636.0,9637.0,0,stall
9637.0,9655.0,0,active
9655.0,9656.0,0,stall
9656.0,9833.0,0,active
9833.0,9834.0,0,stall
9834.0,9852.0,0,active
9852.0,9853.0,0,stall
9853.0,10030.0,0,active
10030.0,10031.0,0,stall
10031.0,10049.0,0,active
10049.0,10050.0,0,stall
10050.0,10227.0,0,active
10227.0,10228.0,0,stall
10228.0,10246.0,0,active
10246.0,10247.0,0,stall
10247.0,10424.0,0,active
10424.0,10425.0,0,stall
10425.0,10443.0,0,active
10443.0,10444.0,0,stall
10444.0,10621.0,0,active
10621.0,10622.0,0,stall
10622.0,10640.0,0,active
10640.0,10641.0,0,stall
10641.0,10818.0,0,active
10818.0,10819.0,0,stall
10819.0,10837.0,0,active
10837.0,10838.0,0,stall
10838.0,11015.0,0,active
11015.0,11016.0,0,stall
11016.0,11034.0,0,active
11034.0,11035.0,0,stall
11035.0,11212.0,0,active
11212.0,11213.0,0,stall
11213.0,11231.0,0,active
11231.0,11232.0,0,stall
11232.0,11409.0,0,active
11409.0,11410.0,0,stall
11410.0,11428.0,0,active
11428.0,11429.0,0,stall
11429.0,11606.0,0,active
11606.0,11607.0,0,stall
11607.0,11625.0,0,active
11625.0,11626.0,0,stall
11626.0,11803.0,0,active
11803.0,11804.0,0,stall
11804.0,11822.0,0,active
11822.0,11823.0,0,stall
11823.0,12000.0,0,active
12000.0,12001.0,0,stall
12001.0,12019.0,0,active
12019.0,12020.0,0,stall
12020.0,12197.0,0,active
12197.0,12198.0,0,stall
12198.0,12216.0,0,active
12216.0,12217.0,0,stall
12217.0,12394.0,0,active
12394.0,12395.0,0,stall
12395.0,12413.0,0,active
12413.0,12414.0,0,stall
12414.0,12591.0,0,active
12591.0,12592.0,0,stall
12592.0,12610.0,0,active
12610.0,12611.0,0,stall
12611.0,12788.0,0,active
12788.0,12789.0,0,stall
12789.0,12807.0,0,active
12807.0,12808.0,0,stall
12808.0,16649.0,0,active
16649.0,17165.0,0,stall
17165.0,17166.0,0,idle
17166.0,32527.0,0,active
32527.0,32920.0,0,idle
32920.0,33438.0,0,stall
33438.0,33439.0,0,idle
33439.0,33544.0,0,idle
