core,window_id,window_start_us,window_end_us,resident_us,resident_frac_of_window,is_resident_window,active_frac,stall_frac,idle_frac,sit_no_work_window_active,sit_no_work_global_active,sit
0,1,256.0,512.0,212.0,0.828125,1,0.33962264150943394,0.4339622641509434,0.22641509433962265,0.33962264150943394,0.08916666666666667,0.08916666666666667
0,2,512.0,768.0,256.0,1.0,1,0.3828125,0.44921875,0.16796875,0.3828125,0.08916666666666667,0.08916666666666667
0,3,768.0,1024.0,132.0,0.515625,1,0.3333333333333333,0.42424242424242425,0.24242424242424243,0.3333333333333333,0.08916666666666667,0.08916666666666667
1,1,256.0,512.0,212.0,0.828125,1,0.0,0.0,1.0,0.0,0.08916666666666667,0.08916666666666667
1,2,512.0,768.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.08916666666666667,0.08916666666666667
1,3,768.0,1024.0,132.0,0.515625,1,0.0,0.0,1.0,0.0,0.08916666666666667,0.08916666666666667
2,1,256.0,512.0,212.0,0.828125,1,0.0,0.0,1.0,0.0,0.08916666666666667,0.08916666666666667
2,2,512.0,768.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.08916666666666667,0.08916666666666667
2,3,768.0,1024.0,132.0,0.515625,1,0.0,0.0,1.0,0.0,0.08916666666666667,0.08916666666666667
3,1,256.0,512.0,212.0,0.828125,1,0.0,0.0,1.0,0.0,0.08916666666666667,0.08916666666666667
3,2,512.0,768.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.08916666666666667,0.08916666666666667
3,3,768.0,1024.0,132.0,0.515625,1,0.0,0.0,1.0,0.0,0.08916666666666667,0.08916666666666667
