diff_rows_window_vs_global,global_mode,global_summary_sit,resident_rows,stem,window_mode
31252,global_active,0.014902750000,31252,trace_0001__all,window_active
1356,global_active,0.343444644174,1356,trace_0001__base,window_active
4,global_active,0.132812500000,4,trace_0001__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0001__partial,window_active
31248,global_active,0.014887655620,31248,trace_0001__skip_w0,window_active
31252,global_active,0.014866250000,31252,trace_0002__all,window_active
1589,global_active,0.292366464758,1589,trace_0002__base,window_active
4,global_active,0.132812500000,4,trace_0002__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0002__partial,window_active
31248,global_active,0.014851150947,31248,trace_0002__skip_w0,window_active
31252,global_active,0.014929250000,31252,trace_0003__all,window_active
1466,global_active,0.318239469645,1466,trace_0003__base,window_active
4,global_active,0.132812500000,4,trace_0003__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0003__partial,window_active
31248,global_active,0.014914159012,31248,trace_0003__skip_w0,window_active
31252,global_active,0.014921250000,31252,trace_0004__all,window_active
2718,global_active,0.171555946468,2718,trace_0004__base,window_active
4,global_active,0.132812500000,4,trace_0004__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0004__partial,window_active
31248,global_active,0.014906157988,31248,trace_0004__skip_w0,window_active
31252,global_active,0.024690625000,31252,trace_0005__all,window_active
2303,global_active,0.335033448220,2303,trace_0005__base,window_active
4,global_active,0.132812500000,4,trace_0005__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0005__partial,window_active
31248,global_active,0.024676783628,31248,trace_0005__skip_w0,window_active
31252,global_active,0.026060000000,31252,trace_0006__all,window_active
2563,global_active,0.317742879438,2563,trace_0006__base,window_active
4,global_active,0.132812500000,4,trace_0006__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0006__partial,window_active
31248,global_active,0.026046333931,31248,trace_0006__skip_w0,window_active
31252,global_active,0.027224500000,31252,trace_0007__all,window_active
2616,global_active,0.325216217508,2616,trace_0007__base,window_active
4,global_active,0.132812500000,4,trace_0007__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0007__partial,window_active
31248,global_active,0.027210983006,31248,trace_0007__skip_w0,window_active
31252,global_active,0.028627375000,31252,trace_0008__all,window_active
3655,global_active,0.244762098153,3655,trace_0008__base,window_active
4,global_active,0.132812500000,4,trace_0008__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0008__partial,window_active
31248,global_active,0.028614037597,31248,trace_0008__skip_w0,window_active
31252,global_active,0.025597250000,31252,trace_0009__all,window_active
2255,global_active,0.354729074279,2255,trace_0009__base,window_active
4,global_active,0.132812500000,4,trace_0009__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0009__partial,window_active
31248,global_active,0.025583524691,31248,trace_0009__skip_w0,window_active
31252,global_active,0.025492500000,31252,trace_0010__all,window_active
2503,global_active,0.318274320815,2503,trace_0010__base,window_active
4,global_active,0.132812500000,4,trace_0010__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0010__partial,window_active
31248,global_active,0.025478761281,31248,trace_0010__skip_w0,window_active
31252,global_active,0.028066875000,31252,trace_0011__all,window_active
2554,global_active,0.343418106402,2554,trace_0011__base,window_active
4,global_active,0.132812500000,4,trace_0011__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0011__partial,window_active
31248,global_active,0.028053465844,31248,trace_0011__skip_w0,window_active
31252,global_active,0.028059875000,31252,trace_0012__all,window_active
3598,global_active,0.243710698652,3598,trace_0012__base,window_active
4,global_active,0.132812500000,4,trace_0012__exact_boundary,window_active
12,global_active,0.089166666667,12,trace_0012__partial,window_active
