branch_mispredict,cache_pressure,case_id,elapsed_s,flag_mode,residency_idle,residency_stall,returncode,sit_median,sit_p95,summary_copy_ok,summary_path,time_us,trace_copy_ok,trace_path,workload,workload_size
False,False,1,13.576,none,33.152794,38.760100,0,0.284165,0.284165,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0001.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0001.csv,fm_loopback,test
False,True,2,13.935,cache_pressure,5.004058,90.638659,0,0.043089,0.043089,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0002.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0002.csv,fm_loopback,test
True,False,3,13.333,branch_mispredict,8.501212,82.924335,0,0.084981,0.084981,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0003.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0003.csv,fm_loopback,test
True,True,4,21.354,both,1.048011,97.894951,0,0.010401,0.010401,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0004.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0004.csv,fm_loopback,test
False,False,5,20.429,none,15.715656,51.166929,0,0.331500,0.331500,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0005.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0005.csv,fm_mm,test
False,True,6,22.285,cache_pressure,12.643607,57.693033,0,0.296792,0.296792,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0006.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0006.csv,fm_mm,test
True,False,7,22.704,branch_mispredict,12.981444,55.682361,0,0.313515,0.313515,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0007.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0007.csv,fm_mm,test
True,True,8,29.331,both,7.318589,73.531458,0,0.191554,0.191554,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0008.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0008.csv,fm_mm,test
False,False,9,20.246,none,17.246727,44.556784,0,0.382152,0.382152,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0009.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0009.csv,fm_sparse,test
False,True,10,21.752,cache_pressure,13.307006,57.145082,0,0.295592,0.295592,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0010.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0010.csv,fm_sparse,test
True,False,11,22.159,branch_mispredict,13.981870,51.056351,0,0.349733,0.349733,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0011.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0011.csv,fm_sparse,test
True,True,12,29.088,both,7.532435,73.638257,0,0.188339,0.188339,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0012.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0012.csv,fm_sparse,test
False,False,13,18.987,none,56.165518,12.606645,0,0.316516,0.316516,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0013.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0013.csv,fm_read,test
False,True,14,20.049,cache_pressure,23.706081,62.585235,0,0.136930,0.136930,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0014.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0014.csv,fm_read,test
True,False,15,19.407,branch_mispredict,33.539741,47.714705,0,0.188782,0.188782,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0015.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0015.csv,fm_read,test
True,True,16,24.888,both,5.058385,92.018497,0,0.029158,0.029158,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0016.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0016.csv,fm_read,test
False,False,17,13.617,none,58.941658,11.453583,0,0.296768,0.296768,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0017.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0017.csv,fm_write,test
False,True,18,14.557,cache_pressure,24.130849,63.319577,0,0.125466,0.125466,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0018.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0018.csv,fm_write,test
True,False,19,13.795,branch_mispredict,34.439299,48.183315,0,0.173811,0.173811,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0019.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0019.csv,fm_write,test
True,True,20,19.695,both,5.078487,92.281021,0,0.026332,0.026332,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0020.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0020.csv,fm_write,test
