window_id,window_start_us,window_end_us,window_us,resident_us,resident_compute_us,idle_us,memory_attributed_us,non_resident_us,sit_timeline_value,sit_timeline_source
0,0.000000,256.000000,256.000000,256.000000,136.000000,36.000000,84.000000,0.000000,0.531250000,Source metric: sit_no_work_window_active
1,256.000000,512.000000,256.000000,256.000000,92.000000,49.000000,115.000000,0.000000,0.359375000,Source metric: sit_no_work_window_active
2,512.000000,768.000000,256.000000,256.000000,98.000000,43.000000,115.000000,0.000000,0.382812500,Source metric: sit_no_work_window_active
3,768.000000,1024.000000,256.000000,256.000000,89.000000,65.000000,102.000000,0.000000,0.347656250,Source metric: sit_no_work_window_active
4,1024.000000,1280.000000,256.000000,256.000000,105.000000,45.000000,106.000000,0.000000,0.410156250,Source metric: sit_no_work_window_active
5,1280.000000,1536.000000,256.000000,256.000000,102.000000,41.000000,113.000000,0.000000,0.398437500,Source metric: sit_no_work_window_active
6,1536.000000,1792.000000,256.000000,256.000000,96.000000,48.000000,112.000000,0.000000,0.375000000,Source metric: sit_no_work_window_active
7,1792.000000,2048.000000,256.000000,256.000000,89.000000,53.000000,114.000000,0.000000,0.347656250,Source metric: sit_no_work_window_active
8,2048.000000,2304.000000,256.000000,256.000000,107.000000,46.000000,103.000000,0.000000,0.417968750,Source metric: sit_no_work_window_active
9,2304.000000,2560.000000,256.000000,256.000000,104.000000,34.000000,118.000000,0.000000,0.406250000,Source metric: sit_no_work_window_active
10,2560.000000,2816.000000,256.000000,256.000000,106.000000,37.000000,113.000000,0.000000,0.414062500,Source metric: sit_no_work_window_active
11,2816.000000,3072.000000,256.000000,256.000000,94.000000,54.000000,108.000000,0.000000,0.367187500,Source metric: sit_no_work_window_active
12,3072.000000,3328.000000,256.000000,256.000000,102.000000,40.000000,114.000000,0.000000,0.398437500,Source metric: sit_no_work_window_active
13,3328.000000,3584.000000,256.000000,256.000000,100.000000,42.000000,114.000000,0.000000,0.390625000,Source metric: sit_no_work_window_active
14,3584.000000,3840.000000,256.000000,256.000000,101.000000,56.000000,99.000000,0.000000,0.394531250,Source metric: sit_no_work_window_active
15,3840.000000,4096.000000,256.000000,256.000000,91.000000,49.000000,116.000000,0.000000,0.355468750,Source metric: sit_no_work_window_active
16,4096.000000,4352.000000,256.000000,256.000000,100.000000,42.000000,114.000000,0.000000,0.390625000,Source metric: sit_no_work_window_active
17,4352.000000,4608.000000,256.000000,256.000000,93.000000,56.000000,107.000000,0.000000,0.363281250,Source metric: sit_no_work_window_active
18,4608.000000,4864.000000,256.000000,256.000000,92.000000,44.000000,120.000000,0.000000,0.359375000,Source metric: sit_no_work_window_active
19,4864.000000,5120.000000,256.000000,256.000000,104.000000,48.000000,104.000000,0.000000,0.406250000,Source metric: sit_no_work_window_active
20,5120.000000,5376.000000,256.000000,256.000000,103.000000,40.000000,113.000000,0.000000,0.402343750,Source metric: sit_no_work_window_active
21,5376.000000,5632.000000,256.000000,256.000000,98.000000,48.000000,110.000000,0.000000,0.382812500,Source metric: sit_no_work_window_active
22,5632.000000,5888.000000,256.000000,256.000000,95.000000,48.000000,113.000000,0.000000,0.371093750,Source metric: sit_no_work_window_active
23,5888.000000,6144.000000,256.000000,256.000000,92.000000,56.000000,108.000000,0.000000,0.359375000,Source metric: sit_no_work_window_active
24,6144.000000,6400.000000,256.000000,256.000000,98.000000,56.000000,102.000000,0.000000,0.382812500,Source metric: sit_no_work_window_active
25,6400.000000,6656.000000,256.000000,256.000000,105.000000,47.000000,104.000000,0.000000,0.410156250,Source metric: sit_no_work_window_active
