branch_mispredict,cache_pressure,case_id,elapsed_s,returncode,summary_copy_ok,summary_path,time_us,trace_copy_ok,trace_path,workload,workload_size
False,False,1,13.576,0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0001.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0001.csv,fm_loopback,test
False,True,2,13.935,0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0002.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0002.csv,fm_loopback,test
True,False,3,13.333,0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0003.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0003.csv,fm_loopback,test
True,True,4,21.354,0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0004.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0004.csv,fm_loopback,test
False,False,5,20.429,0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0005.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0005.csv,fm_mm,test
False,True,6,22.285,0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0006.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0006.csv,fm_mm,test
True,False,7,22.704,0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0007.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0007.csv,fm_mm,test
True,True,8,29.331,0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0008.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0008.csv,fm_mm,test
False,False,9,20.246,0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0009.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0009.csv,fm_sparse,test
False,True,10,21.752,0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/summaries/summary_0010.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0010.csv,fm_sparse,test
