window_id,window_start_us,window_end_us,window_us,resident_us,resident_compute_us,idle_us,memory_attributed_us,non_resident_us,sit_timeline_value,sit_timeline_source
0,0.000000,256.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
1,256.000000,512.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
2,512.000000,768.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
3,768.000000,1024.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
4,1024.000000,1280.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
5,1280.000000,1536.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
6,1536.000000,1792.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
7,1792.000000,2048.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
8,2048.000000,2304.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
9,2304.000000,2560.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
10,2560.000000,2816.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
11,2816.000000,3072.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
12,3072.000000,3328.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
13,3328.000000,3584.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
14,3584.000000,3840.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
15,3840.000000,4096.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
16,4096.000000,4352.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
17,4352.000000,4608.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
18,4608.000000,4864.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
19,4864.000000,5120.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
20,5120.000000,5376.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
21,5376.000000,5632.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
22,5632.000000,5888.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
23,5888.000000,6144.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
24,6144.000000,6400.000000,256.000000,256.000000,214.000000,42.000000,0.000000,0.000000,0.835937500,Source metric: sit_no_work_window_active
25,6400.000000,6656.000000,256.000000,256.000000,256.000000,0.000000,0.000000,0.000000,1.000000000,Source metric: sit_no_work_window_active
26,6656.000000,6912.000000,256.000000,256.000000,255.000000,0.000000,1.000000,0.000000,0.996093750,Source metric: sit_no_work_window_active
27,6912.000000,7168.000000,256.000000,256.000000,173.000000,0.000000,83.000000,0.000000,0.675781250,Source metric: sit_no_work_window_active
28,7168.000000,7424.000000,256.000000,256.000000,0.000000,0.000000,256.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
29,7424.000000,7680.000000,256.000000,256.000000,67.000000,12.000000,177.000000,0.000000,0.261718750,Source metric: sit_no_work_window_active
30,7680.000000,7936.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
31,7936.000000,8192.000000,256.000000,256.000000,0.000000,126.000000,130.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
32,8192.000000,8448.000000,256.000000,256.000000,0.000000,0.000000,256.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
33,8448.000000,8704.000000,256.000000,256.000000,0.000000,124.000000,132.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
