branch_mispredict,cache_pressure,case_id,elapsed_s,flag_mode,residency_idle,residency_stall,returncode,sit_median,sit_p95,summary_copy_ok,summary_path,time_us,trace_copy_ok,trace_path,workload,workload_size
False,False,1,3.047,none,32.820323,34.239954,0,0.334462,0.334462,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0001.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0001.csv,fm_loopback,test
False,True,2,4.793,cache_pressure,4.672731,90.437154,0,0.048715,0.048715,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0002.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0002.csv,fm_loopback,test
True,False,3,3.884,branch_mispredict,7.997069,82.508341,0,0.094689,0.094689,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0003.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0003.csv,fm_loopback,test
True,True,4,13.168,both,0.987052,97.841382,0,0.011639,0.011639,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0004.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0004.csv,fm_loopback,test
False,False,5,10.805,none,9.454730,25.637061,0,0.649602,0.649602,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0005.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0005.csv,fm_mm,test
False,True,6,12.712,cache_pressure,7.639443,34.321759,0,0.580605,0.580605,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0006.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0006.csv,fm_mm,test
True,False,7,13.069,branch_mispredict,8.258044,35.498354,0,0.562599,0.562599,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0007.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0007.csv,fm_mm,test
True,True,8,20.504,both,4.690371,60.600527,0,0.347127,0.347127,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0008.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0008.csv,fm_mm,test
False,False,9,10.639,none,10.619000,27.039180,0,0.623705,0.623705,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0009.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0009.csv,fm_sparse,test
False,True,10,12.326,cache_pressure,8.068153,44.369491,0,0.475664,0.475664,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/summaries/summary_0010.json,256.0,1,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_185834/traces/trace_0010.csv,fm_sparse,test
