flag_mode,sit_median_mean,workload
none,0.284165,fm_loopback
none,0.331500,fm_mm
none,0.382152,fm_sparse
none,0.316516,fm_read
none,0.296768,fm_write
branch_mispredict,0.084981,fm_loopback
branch_mispredict,0.313515,fm_mm
branch_mispredict,0.349733,fm_sparse
branch_mispredict,0.188782,fm_read
branch_mispredict,0.173811,fm_write
cache_pressure,0.043089,fm_loopback
cache_pressure,0.296792,fm_mm
cache_pressure,0.295592,fm_sparse
cache_pressure,0.136930,fm_read
cache_pressure,0.125466,fm_write
both,0.010401,fm_loopback
both,0.191554,fm_mm
both,0.188339,fm_sparse
both,0.029158,fm_read
both,0.026332,fm_write
