window_id,window_start_us,window_end_us,window_us,resident_us,resident_compute_us,idle_us,memory_attributed_us,non_resident_us,sit_timeline_value,sit_timeline_source
1,256.000000,512.000000,256.000000,212.000000,72.000000,48.000000,92.000000,44.000000,0.339622642,Source metric: sit_no_work_window_active
1,256.000000,512.000000,256.000000,212.000000,0.000000,212.000000,0.000000,44.000000,0.000000000,Source metric: sit_no_work_window_active
1,256.000000,512.000000,256.000000,212.000000,0.000000,212.000000,0.000000,44.000000,0.000000000,Source metric: sit_no_work_window_active
1,256.000000,512.000000,256.000000,212.000000,0.000000,212.000000,0.000000,44.000000,0.000000000,Source metric: sit_no_work_window_active
2,512.000000,768.000000,256.000000,256.000000,98.000000,43.000000,115.000000,0.000000,0.382812500,Source metric: sit_no_work_window_active
2,512.000000,768.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
2,512.000000,768.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
2,512.000000,768.000000,256.000000,256.000000,0.000000,256.000000,0.000000,0.000000,0.000000000,Source metric: sit_no_work_window_active
3,768.000000,1024.000000,256.000000,132.000000,44.000000,32.000000,56.000000,124.000000,0.333333333,Source metric: sit_no_work_window_active
3,768.000000,1024.000000,256.000000,132.000000,0.000000,132.000000,0.000000,124.000000,0.000000000,Source metric: sit_no_work_window_active
3,768.000000,1024.000000,256.000000,132.000000,0.000000,132.000000,0.000000,124.000000,0.000000000,Source metric: sit_no_work_window_active
3,768.000000,1024.000000,256.000000,132.000000,0.000000,132.000000,0.000000,124.000000,0.000000000,Source metric: sit_no_work_window_active
