branch_mispredict,cache_pressure,flag_mode,target,time_us,trace_id,trace_path,workload,workload_size
False,False,none,spike,256.0,trace_0001,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0001.csv,fm_loopback,test
False,True,cache_pressure,spike,256.0,trace_0002,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0002.csv,fm_loopback,test
True,False,branch_mispredict,spike,256.0,trace_0003,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0003.csv,fm_loopback,test
True,True,both,spike,256.0,trace_0004,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0004.csv,fm_loopback,test
False,False,none,spike,256.0,trace_0005,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0005.csv,fm_mm,test
False,True,cache_pressure,spike,256.0,trace_0006,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0006.csv,fm_mm,test
True,False,branch_mispredict,spike,256.0,trace_0007,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0007.csv,fm_mm,test
True,True,both,spike,256.0,trace_0008,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0008.csv,fm_mm,test
False,False,none,spike,256.0,trace_0009,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0009.csv,fm_sparse,test
False,True,cache_pressure,spike,256.0,trace_0010,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0010.csv,fm_sparse,test
True,False,branch_mispredict,spike,256.0,trace_0011,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0011.csv,fm_sparse,test
True,True,both,spike,256.0,trace_0012,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0012.csv,fm_sparse,test
False,False,none,spike,256.0,trace_0013,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0013.csv,fm_read,test
False,True,cache_pressure,spike,256.0,trace_0014,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0014.csv,fm_read,test
True,False,branch_mispredict,spike,256.0,trace_0015,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0015.csv,fm_read,test
True,True,both,spike,256.0,trace_0016,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0016.csv,fm_read,test
False,False,none,spike,256.0,trace_0017,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0017.csv,fm_write,test
False,True,cache_pressure,spike,256.0,trace_0018,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0018.csv,fm_write,test
True,False,branch_mispredict,spike,256.0,trace_0019,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0019.csv,fm_write,test
True,True,both,spike,256.0,trace_0020,/home/dev_srinidhi/sit-cpu-baseline/sit-cpu-baseline/Phase-2/sweeps/results/20260305_190908/traces/trace_0020.csv,fm_write,test
