core,window_id,window_start_us,window_end_us,resident_us,resident_frac_of_window,is_resident_window,active_frac,stall_frac,idle_frac,sit_no_work_window_active,sit_no_work_global_active,sit
0,0,0.0,256.0,18.483999999999998,0.07220312499999999,1,0.059889634278295086,0.9401103657217049,0.0,0.059889634278295086,0.044845153811750624,0.059889634278295086
1,0,0.0,256.0,25.841,0.10094140625,1,0.04299369219457483,0.9570063078054252,0.0,0.04299369219457483,0.044845153811750624,0.04299369219457483
2,0,0.0,256.0,25.184,0.098375,1,0.04415501905972012,0.9558449809402797,1.4107026996507707e-16,0.04415501905972012,0.044845153811750624,0.04415501905972012
3,0,0.0,256.0,24.09,0.0941015625,1,0.04196762141967583,0.9580323785803241,0.0,0.04196762141967583,0.044845153811750624,0.04196762141967583
4,0,0.0,256.0,27.174000000000003,0.10614843750000001,1,0.037167881062780475,0.9628321189372194,0.0,0.037167881062780475,0.044845153811750624,0.037167881062780475
5,0,0.0,256.0,28.319,0.11062109375,1,0.035735725131537534,0.9642642748684623,1.2545335918642964e-16,0.035735725131537534,0.044845153811750624,0.035735725131537534
6,0,0.0,256.0,29.157999999999998,0.11389843749999999,1,0.03470745592976225,0.9652925440702378,0.0,0.03470745592976225,0.044845153811750624,0.03470745592976225
7,0,0.0,256.0,16.794,0.0656015625,1,0.06567821841133716,0.9343217815886627,2.1154660466836374e-16,0.06567821841133716,0.044845153811750624,0.06567821841133716
8,0,0.0,256.0,23.508,0.091828125,1,0.04717542964097323,0.9528245703590268,0.0,0.04717542964097323,0.044845153811750624,0.04717542964097323
9,0,0.0,256.0,19.013,0.07426953125,1,0.058328512070689065,0.9416714879293109,0.0,0.058328512070689065,0.044845153811750624,0.058328512070689065
10,0,0.0,256.0,24.645,0.09626953125,1,0.041144248326232126,0.9588557516737678,0.0,0.041144248326232126,0.044845153811750624,0.041144248326232126
11,0,0.0,256.0,25.625999999999998,0.10010156249999999,1,0.03953016467650047,0.9604698353234995,0.0,0.03953016467650047,0.044845153811750624,0.03953016467650047
12,0,0.0,256.0,28.828999999999997,0.11261328124999999,1,0.03520760345485431,0.9647923965451456,1.232340240313747e-16,0.03520760345485431,0.044845153811750624,0.03520760345485431
13,0,0.0,256.0,29.786,0.1163515625,1,0.03407641173705732,0.9659235882629427,0.0,0.03407641173705732,0.044845153811750624,0.03407641173705732
14,0,0.0,256.0,14.563,0.05688671875,1,0.07580855592941027,0.9241914440705897,0.0,0.07580855592941027,0.044845153811750624,0.07580855592941027
15,0,0.0,256.0,21.035,0.08216796875,1,0.05243641549797924,0.9475635845020207,0.0,0.05243641549797924,0.044845153811750624,0.05243641549797924
16,0,0.0,256.0,22.253999999999998,0.08692968749999999,1,0.04969893052934337,0.9503010694706565,0.0,0.04969893052934337,0.044845153811750624,0.04969893052934337
17,0,0.0,256.0,25.149,0.09823828125,1,0.04027993160761877,0.9597200683923812,0.0,0.04027993160761877,0.044845153811750624,0.04027993160761877
