start_us,end_us,core,resident
0.085,463.006,0,1
0.092,455.386,1,1
0.111,459.864,2,1
0.1,475.818,3,1
0.115,464.509,4,1
0.161,493.97,5,1
0.184,496.682,6,1
0.006,475.86,7,1
0.0,433.001,8,1
0.035,458.781,9,1
0.008,445.404,10,1
0.02,419.629,11,1
0.08,452.827,12,1
0.075,468.374,13,1
0.018,448.584,14,1
0.015,440.316,15,1
0.042,445.687,16,1
0.062,474.026,17,1
0.054,445.347,18,1
0.084,430.34,19,1
0.077,449.071,20,1
0.036,425.696,21,1
0.022,452.409,22,1
0.03,412.192,23,1
0.025,464.162,24,1
0.058,427.71,25,1
0.081,461.213,26,1
0.084,417.1,27,1
0.04,372.132,28,1
0.05,433.884,29,1
0.041,370.319,30,1
0.061,424.839,31,1
0.049,423.802,32,1
0.097,419.362,33,1
0.075,367.898,34,1
0.031,405.486,35,1
0.046,401.369,36,1
0.051,397.075,37,1
0.112,401.092,38,1
0.071,425.641,39,1
0.121,405.837,40,1
0.092,413.038,41,1
0.062,380.53,42,1
0.085,381.373,43,1
0.123,438.035,44,1
0.103,375.353,45,1
0.106,410.923,46,1
0.11,415.058,47,1
0.13,430.7,48,1
0.06,425.503,49,1
0.104,456.107,50,1
0.119,432.325,51,1
0.084,469.283,52,1
0.134,420.585,53,1
0.104,469.866,54,1
0.139,428.006,55,1
