start_us,end_us,core,resident
0.109,18.593,0,1
0.133,25.974,1,1
0.115,25.299,2,1
0.119,24.209,3,1
0.153,27.327,4,1
0.168,28.487,5,1
0.135,29.293,6,1
0.019,16.813,7,1
0.03,23.538,8,1
0.014,19.027,9,1
0.014,24.659,10,1
0.039,25.665,11,1
0.033,28.862,12,1
0.102,29.888,13,1
0.033,14.596,14,1
0.004,21.039,15,1
0.033,22.287,16,1
0.038,25.187,17,1
0.071,18.919,18,1
0.044,29.748,19,1
0.103,30.375,20,1
0.032,16.177,21,1
0.0,20.022,22,1
0.052,24.731,23,1
0.062,25.337,24,1
0.081,14.97,25,1
0.054,29.239,26,1
0.082,30.993,27,1
0.059,16.778,28,1
0.05,21.593,29,1
0.06,23.823,30,1
0.043,24.94,31,1
0.09,23.822,32,1
0.082,28.34,33,1
0.081,30.413,34,1
0.068,14.739,35,1
0.056,20.577,36,1
0.083,21.97,37,1
0.051,25.459,38,1
0.11,25.259,39,1
0.103,25.176,40,1
0.111,29.763,41,1
0.066,13.73,42,1
0.104,24.811,43,1
0.103,22.811,44,1
0.095,26.004,45,1
0.128,25.507,46,1
0.119,18.46,47,1
0.137,29.148,48,1
0.102,16.545,49,1
0.054,19.382,50,1
0.067,20.33,51,1
0.089,26.123,52,1
0.103,25.498,53,1
0.107,18.035,54,1
0.159,28.786,55,1
