start_us,end_us,core,state,start_cycle,end_cycle,core_id,pcie_slot,core_x,core_y,risc_type,zone_name,source_file,source_line,origin,map_hit
0.0,1.253,0,active,13224026089269,13224026090522,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
1.253,1.314,0,stall,13224026090522,13224026090583,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
1.314,1.766,0,active,13224026090583,13224026091035,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
1.766,1.825,0,stall,13224026091035,13224026091094,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
1.825,2.391,0,active,13224026091094,13224026091660,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
2.391,2.449,0,stall,13224026091660,13224026091718,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
2.449,3.008,0,active,13224026091718,13224026092277,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
3.008,3.066,0,stall,13224026092277,13224026092335,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
3.066,3.532,0,active,13224026092335,13224026092801,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
3.532,3.59,0,stall,13224026092801,13224026092859,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
3.59,4.161,0,active,13224026092859,13224026093430,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
4.161,4.22,0,stall,13224026093430,13224026093489,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
4.22,4.784,0,active,13224026093489,13224026094053,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
4.784,4.843,0,stall,13224026094053,13224026094112,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
4.843,5.417,0,active,13224026094112,13224026094686,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
5.417,5.475,0,stall,13224026094686,13224026094744,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
5.475,6.031,0,active,13224026094744,13224026095300,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
6.031,6.09,0,stall,13224026095300,13224026095359,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
6.09,6.656,0,active,13224026095359,13224026095925,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
6.656,6.714,0,stall,13224026095925,13224026095983,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
6.714,7.429,0,active,13224026095983,13224026096698,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
7.429,7.487,0,stall,13224026096698,13224026096756,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
7.487,8.056,0,active,13224026096756,13224026097325,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
8.056,8.114,0,stall,13224026097325,13224026097383,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
8.114,8.679,0,active,13224026097383,13224026097948,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
8.679,8.737,0,stall,13224026097948,13224026098006,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
8.737,9.206,0,active,13224026098006,13224026098475,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
9.206,9.264,0,stall,13224026098475,13224026098533,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
9.264,9.823,0,active,13224026098533,13224026099092,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
9.823,9.881,0,stall,13224026099092,13224026099150,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
9.881,10.455,0,active,13224026099150,13224026099724,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
10.455,10.513,0,stall,13224026099724,13224026099782,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
10.513,11.126,0,active,13224026099782,13224026100395,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
11.126,11.184,0,stall,13224026100395,13224026100453,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
11.184,11.758,0,active,13224026100453,13224026101027,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
11.758,11.818,0,stall,13224026101027,13224026101087,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
11.818,12.373,0,active,13224026101087,13224026101642,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
12.373,12.431,0,stall,13224026101642,13224026101700,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
12.431,13.005,0,active,13224026101700,13224026102274,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
13.005,13.064,0,stall,13224026102274,13224026102333,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
13.064,13.639,0,active,13224026102333,13224026102908,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
13.639,13.698,0,stall,13224026102908,13224026102967,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
13.698,14.262,0,active,13224026102967,13224026103531,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
14.262,14.321,0,stall,13224026103531,13224026103590,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
14.321,15.049,0,active,13224026103590,13224026104318,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
15.049,15.107,0,stall,13224026104318,13224026104376,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
15.107,15.67,0,active,13224026104376,13224026104939,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
15.67,15.728,0,stall,13224026104939,13224026104997,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
15.728,16.284,0,active,13224026104997,13224026105553,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
16.284,16.344,0,stall,13224026105553,13224026105613,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
16.344,16.803,0,active,13224026105613,13224026106072,slot0_x1_y1,0,1,1,TILE,THROUGHPUT_SECTION,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:explicit_throughput,1
16.803,16.861,0,stall,13224026106072,13224026106130,slot0_x1_y1,0,1,1,TILE,TRISC-KERNEL,/hdd/flapmax/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,73,tile_fused:trisc_kernel_base,1
