start_us,end_us,core,resident
0.09,416.196,0,1
0.092,397.322,1,1
0.113,407.979,2,1
0.1,431.748,3,1
0.115,415.336,4,1
0.161,458.494,5,1
0.188,459.494,6,1
0.006,434.378,7,1
0.0,408.277,8,1
0.039,439.07,9,1
0.008,414.335,10,1
0.02,377.183,11,1
0.082,431.171,12,1
0.075,450.781,13,1
0.018,427.948,14,1
0.015,416.766,15,1
0.042,416.0,16,1
0.063,456.63,17,1
0.055,416.142,18,1
0.084,399.452,19,1
0.079,425.614,20,1
0.037,387.254,21,1
0.023,432.227,22,1
0.031,367.714,23,1
0.026,444.3,24,1
0.059,390.48,25,1
0.082,441.908,26,1
0.084,373.91,27,1
0.04,338.876,28,1
0.054,398.858,29,1
0.045,338.135,30,1
0.061,380.733,31,1
0.049,391.137,32,1
0.1,376.704,33,1
0.077,332.534,34,1
0.031,368.214,35,1
0.047,353.654,36,1
0.053,363.567,37,1
0.117,345.908,38,1
0.073,390.226,39,1
0.125,361.177,40,1
0.094,375.614,41,1
0.066,349.391,42,1
0.085,348.678,43,1
0.123,405.271,44,1
0.104,342.955,45,1
0.107,363.813,46,1
0.11,373.727,47,1
0.13,394.609,48,1
0.062,385.304,49,1
0.105,436.248,50,1
0.12,395.589,51,1
0.084,451.268,52,1
0.134,374.795,53,1
0.105,453.059,54,1
0.139,389.916,55,1
