core,window_id,window_start_us,window_end_us,resident_us,resident_frac_of_window,is_resident_window,active_frac,stall_frac,idle_frac,sit,sit_no_work_window_active,source_cores
0,0,0.000000,8.000000,7.924518,0.990565,1,0.972229,0.027771,0.000000,0.972229,0.972229,56
0,1,8.000000,16.000000,8.000000,1.000000,1,0.992931,0.007069,0.000000,0.992931,0.992931,56
0,2,16.000000,24.000000,8.000000,1.000000,1,0.992596,0.007404,0.000000,0.992596,0.992596,56
0,3,24.000000,32.000000,8.000000,1.000000,1,0.991208,0.008792,0.000000,0.991208,0.991208,56
0,4,32.000000,40.000000,8.000000,1.000000,1,0.876603,0.123397,0.000000,0.876603,0.876603,56
0,5,40.000000,48.000000,8.000000,1.000000,1,0.760335,0.239665,0.000000,0.760335,0.760335,56
0,6,48.000000,56.000000,8.000000,1.000000,1,0.871489,0.128511,0.000000,0.871489,0.871489,56
0,7,56.000000,64.000000,8.000000,1.000000,1,0.837431,0.162569,0.000000,0.837431,0.837431,56
0,8,64.000000,72.000000,8.000000,1.000000,1,0.903951,0.096049,0.000000,0.903951,0.903951,56
0,9,72.000000,80.000000,8.000000,1.000000,1,0.981183,0.018817,0.000000,0.981183,0.981183,56
0,10,80.000000,88.000000,8.000000,1.000000,1,0.974502,0.025498,0.000000,0.974502,0.974502,56
0,11,88.000000,96.000000,8.000000,1.000000,1,0.906145,0.093855,0.000000,0.906145,0.906145,56
0,12,96.000000,104.000000,8.000000,1.000000,1,0.835902,0.164098,0.000000,0.835902,0.835902,56
0,13,104.000000,112.000000,8.000000,1.000000,1,0.888176,0.111824,0.000000,0.888176,0.888176,56
0,14,112.000000,120.000000,8.000000,1.000000,1,0.974806,0.025194,0.000000,0.974806,0.974806,56
0,15,120.000000,128.000000,8.000000,1.000000,1,0.913085,0.086915,0.000000,0.913085,0.913085,56
0,16,128.000000,136.000000,8.000000,1.000000,1,0.899248,0.100752,0.000000,0.899248,0.899248,56
0,17,136.000000,144.000000,8.000000,1.000000,1,0.898667,0.101333,0.000000,0.898667,0.898667,56
0,18,144.000000,152.000000,8.000000,1.000000,1,0.887600,0.112400,0.000000,0.887600,0.887600,56
0,19,152.000000,160.000000,8.000000,1.000000,1,0.894192,0.105808,0.000000,0.894192,0.894192,56
0,20,160.000000,168.000000,8.000000,1.000000,1,0.849790,0.150210,0.000000,0.849790,0.849790,56
0,21,168.000000,176.000000,8.000000,1.000000,1,0.837759,0.162241,0.000000,0.837759,0.837759,56
0,22,176.000000,184.000000,8.000000,1.000000,1,0.923400,0.076600,0.000000,0.923400,0.923400,56
0,23,184.000000,192.000000,8.000000,1.000000,1,0.918096,0.081904,0.000000,0.918096,0.918096,56
0,24,192.000000,200.000000,8.000000,1.000000,1,0.926502,0.073498,0.000000,0.926502,0.926502,56
0,25,200.000000,208.000000,8.000000,1.000000,1,0.929339,0.070661,0.000000,0.929339,0.929339,56
0,26,208.000000,216.000000,8.000000,1.000000,1,0.851176,0.148824,0.000000,0.851176,0.851176,56
0,27,216.000000,224.000000,8.000000,1.000000,1,0.851442,0.148558,0.000000,0.851442,0.851442,56
0,28,224.000000,232.000000,8.000000,1.000000,1,0.867946,0.132054,0.000000,0.867946,0.867946,56
0,29,232.000000,240.000000,8.000000,1.000000,1,0.929766,0.070234,0.000000,0.929766,0.929766,56
0,30,240.000000,248.000000,8.000000,1.000000,1,0.929069,0.070931,0.000000,0.929069,0.929069,56
0,31,248.000000,256.000000,8.000000,1.000000,1,0.900337,0.099663,0.000000,0.900337,0.900337,56
0,32,256.000000,264.000000,8.000000,1.000000,1,0.943504,0.056496,0.000000,0.943504,0.943504,56
0,33,264.000000,272.000000,8.000000,1.000000,1,0.919143,0.080857,0.000000,0.919143,0.919143,56
0,34,272.000000,280.000000,8.000000,1.000000,1,0.884770,0.115230,0.000000,0.884770,0.884770,56
0,35,280.000000,288.000000,8.000000,1.000000,1,0.905011,0.094989,0.000000,0.905011,0.905011,56
0,36,288.000000,296.000000,8.000000,1.000000,1,0.873895,0.126105,0.000000,0.873895,0.873895,56
0,37,296.000000,304.000000,8.000000,1.000000,1,0.846475,0.153525,0.000000,0.846475,0.846475,56
0,38,304.000000,312.000000,8.000000,1.000000,1,0.923156,0.076844,0.000000,0.923156,0.923156,56
0,39,312.000000,320.000000,8.000000,1.000000,1,0.920703,0.079297,0.000000,0.920703,0.920703,56
0,40,320.000000,328.000000,8.000000,1.000000,1,0.924701,0.075299,0.000000,0.924701,0.924701,56
0,41,328.000000,336.000000,7.938107,0.992263,1,0.876882,0.123118,0.000000,0.876882,0.876882,56
0,42,336.000000,344.000000,7.642250,0.955281,1,0.814756,0.185244,0.000000,0.814756,0.814756,56
0,43,344.000000,352.000000,7.213875,0.901734,1,0.783819,0.216181,0.000000,0.783819,0.783819,56
0,44,352.000000,360.000000,6.886679,0.860835,1,0.758706,0.241294,0.000000,0.758706,0.758706,56
0,45,360.000000,368.000000,6.576268,0.822033,1,0.737351,0.262649,0.000000,0.737351,0.737351,56
0,46,368.000000,376.000000,6.040357,0.755045,1,0.741317,0.258683,0.000000,0.741317,0.741317,56
0,47,376.000000,384.000000,5.261071,0.657634,1,0.670185,0.329815,0.000000,0.670185,0.670185,56
0,48,384.000000,392.000000,4.827089,0.603386,1,0.653929,0.346071,0.000000,0.653929,0.653929,56
0,49,392.000000,400.000000,4.032679,0.504085,1,0.703144,0.296856,0.000000,0.703144,0.703144,56
0,50,400.000000,408.000000,3.522321,0.440290,1,0.680958,0.319042,0.000000,0.680958,0.680958,56
0,51,408.000000,416.000000,3.106214,0.388277,1,0.583192,0.416808,0.000000,0.583192,0.583192,56
0,52,416.000000,424.000000,2.305429,0.288179,1,0.762029,0.237971,0.000000,0.762029,0.762029,56
0,53,424.000000,432.000000,2.080018,0.260002,1,0.663387,0.336613,0.000000,0.663387,0.663387,56
0,54,432.000000,440.000000,1.391482,0.173935,1,0.628274,0.371726,0.000000,0.628274,0.628274,56
0,55,440.000000,448.000000,0.968000,0.121000,1,0.584655,0.415345,0.000000,0.584655,0.584655,56
0,56,448.000000,456.000000,0.626929,0.078366,1,0.373932,0.626068,0.000000,0.373932,0.373932,56
0,57,456.000000,464.000000,0.118179,0.014772,1,0.062557,0.937443,0.000000,0.062557,0.062557,56
