window_id,window_start_us,window_end_us,window_us,resident_us,resident_compute_us,idle_us,memory_attributed_us,non_resident_us,sit_timeline_value,sit_timeline_source
0,0.000000,8.000000,8.000000,7.924518,7.704446,0.000000,0.220072,0.075482,0.972229000,Source metric: sit_no_work_window_active (no-work fallback)
1,8.000000,16.000000,8.000000,8.000000,7.943448,0.000000,0.056552,0.000000,0.992931000,Source metric: sit_no_work_window_active (no-work fallback)
2,16.000000,24.000000,8.000000,8.000000,7.940768,0.000000,0.059232,0.000000,0.992596000,Source metric: sit_no_work_window_active (no-work fallback)
3,24.000000,32.000000,8.000000,8.000000,7.929664,0.000000,0.070336,0.000000,0.991208000,Source metric: sit_no_work_window_active (no-work fallback)
4,32.000000,40.000000,8.000000,8.000000,7.012824,0.000000,0.987176,0.000000,0.876603000,Source metric: sit_no_work_window_active (no-work fallback)
5,40.000000,48.000000,8.000000,8.000000,6.082680,0.000000,1.917320,0.000000,0.760335000,Source metric: sit_no_work_window_active (no-work fallback)
6,48.000000,56.000000,8.000000,8.000000,6.971912,0.000000,1.028088,0.000000,0.871489000,Source metric: sit_no_work_window_active (no-work fallback)
7,56.000000,64.000000,8.000000,8.000000,6.699448,0.000000,1.300552,0.000000,0.837431000,Source metric: sit_no_work_window_active (no-work fallback)
8,64.000000,72.000000,8.000000,8.000000,7.231608,0.000000,0.768392,0.000000,0.903951000,Source metric: sit_no_work_window_active (no-work fallback)
9,72.000000,80.000000,8.000000,8.000000,7.849464,0.000000,0.150536,0.000000,0.981183000,Source metric: sit_no_work_window_active (no-work fallback)
10,80.000000,88.000000,8.000000,8.000000,7.796016,0.000000,0.203984,0.000000,0.974502000,Source metric: sit_no_work_window_active (no-work fallback)
11,88.000000,96.000000,8.000000,8.000000,7.249160,0.000000,0.750840,0.000000,0.906145000,Source metric: sit_no_work_window_active (no-work fallback)
12,96.000000,104.000000,8.000000,8.000000,6.687216,0.000000,1.312784,0.000000,0.835902000,Source metric: sit_no_work_window_active (no-work fallback)
13,104.000000,112.000000,8.000000,8.000000,7.105408,0.000000,0.894592,0.000000,0.888176000,Source metric: sit_no_work_window_active (no-work fallback)
14,112.000000,120.000000,8.000000,8.000000,7.798448,0.000000,0.201552,0.000000,0.974806000,Source metric: sit_no_work_window_active (no-work fallback)
15,120.000000,128.000000,8.000000,8.000000,7.304680,0.000000,0.695320,0.000000,0.913085000,Source metric: sit_no_work_window_active (no-work fallback)
16,128.000000,136.000000,8.000000,8.000000,7.193984,0.000000,0.806016,0.000000,0.899248000,Source metric: sit_no_work_window_active (no-work fallback)
17,136.000000,144.000000,8.000000,8.000000,7.189336,0.000000,0.810664,0.000000,0.898667000,Source metric: sit_no_work_window_active (no-work fallback)
18,144.000000,152.000000,8.000000,8.000000,7.100800,0.000000,0.899200,0.000000,0.887600000,Source metric: sit_no_work_window_active (no-work fallback)
19,152.000000,160.000000,8.000000,8.000000,7.153536,0.000000,0.846464,0.000000,0.894192000,Source metric: sit_no_work_window_active (no-work fallback)
20,160.000000,168.000000,8.000000,8.000000,6.798320,0.000000,1.201680,0.000000,0.849790000,Source metric: sit_no_work_window_active (no-work fallback)
21,168.000000,176.000000,8.000000,8.000000,6.702072,0.000000,1.297928,0.000000,0.837759000,Source metric: sit_no_work_window_active (no-work fallback)
22,176.000000,184.000000,8.000000,8.000000,7.387200,0.000000,0.612800,0.000000,0.923400000,Source metric: sit_no_work_window_active (no-work fallback)
23,184.000000,192.000000,8.000000,8.000000,7.344768,0.000000,0.655232,0.000000,0.918096000,Source metric: sit_no_work_window_active (no-work fallback)
24,192.000000,200.000000,8.000000,8.000000,7.412016,0.000000,0.587984,0.000000,0.926502000,Source metric: sit_no_work_window_active (no-work fallback)
25,200.000000,208.000000,8.000000,8.000000,7.434712,0.000000,0.565288,0.000000,0.929339000,Source metric: sit_no_work_window_active (no-work fallback)
26,208.000000,216.000000,8.000000,8.000000,6.809408,0.000000,1.190592,0.000000,0.851176000,Source metric: sit_no_work_window_active (no-work fallback)
27,216.000000,224.000000,8.000000,8.000000,6.811536,0.000000,1.188464,0.000000,0.851442000,Source metric: sit_no_work_window_active (no-work fallback)
28,224.000000,232.000000,8.000000,8.000000,6.943568,0.000000,1.056432,0.000000,0.867946000,Source metric: sit_no_work_window_active (no-work fallback)
29,232.000000,240.000000,8.000000,8.000000,7.438128,0.000000,0.561872,0.000000,0.929766000,Source metric: sit_no_work_window_active (no-work fallback)
30,240.000000,248.000000,8.000000,8.000000,7.432552,0.000000,0.567448,0.000000,0.929069000,Source metric: sit_no_work_window_active (no-work fallback)
31,248.000000,256.000000,8.000000,8.000000,7.202696,0.000000,0.797304,0.000000,0.900337000,Source metric: sit_no_work_window_active (no-work fallback)
32,256.000000,264.000000,8.000000,8.000000,7.548032,0.000000,0.451968,0.000000,0.943504000,Source metric: sit_no_work_window_active (no-work fallback)
33,264.000000,272.000000,8.000000,8.000000,7.353144,0.000000,0.646856,0.000000,0.919143000,Source metric: sit_no_work_window_active (no-work fallback)
34,272.000000,280.000000,8.000000,8.000000,7.078160,0.000000,0.921840,0.000000,0.884770000,Source metric: sit_no_work_window_active (no-work fallback)
35,280.000000,288.000000,8.000000,8.000000,7.240088,0.000000,0.759912,0.000000,0.905011000,Source metric: sit_no_work_window_active (no-work fallback)
36,288.000000,296.000000,8.000000,8.000000,6.991160,0.000000,1.008840,0.000000,0.873895000,Source metric: sit_no_work_window_active (no-work fallback)
37,296.000000,304.000000,8.000000,8.000000,6.771800,0.000000,1.228200,0.000000,0.846475000,Source metric: sit_no_work_window_active (no-work fallback)
38,304.000000,312.000000,8.000000,8.000000,7.385248,0.000000,0.614752,0.000000,0.923156000,Source metric: sit_no_work_window_active (no-work fallback)
39,312.000000,320.000000,8.000000,8.000000,7.365624,0.000000,0.634376,0.000000,0.920703000,Source metric: sit_no_work_window_active (no-work fallback)
40,320.000000,328.000000,8.000000,8.000000,7.397608,0.000000,0.602392,0.000000,0.924701000,Source metric: sit_no_work_window_active (no-work fallback)
41,328.000000,336.000000,8.000000,7.938107,6.960783,0.000000,0.977324,0.061893,0.876882000,Source metric: sit_no_work_window_active (no-work fallback)
42,336.000000,344.000000,8.000000,7.642250,6.226569,0.000000,1.415681,0.357750,0.814756000,Source metric: sit_no_work_window_active (no-work fallback)
43,344.000000,352.000000,8.000000,7.213875,5.654372,0.000000,1.559503,0.786125,0.783819000,Source metric: sit_no_work_window_active (no-work fallback)
44,352.000000,360.000000,8.000000,6.886679,5.224965,0.000000,1.661714,1.113321,0.758706000,Source metric: sit_no_work_window_active (no-work fallback)
45,360.000000,368.000000,8.000000,6.576268,4.849018,0.000000,1.727250,1.423732,0.737351000,Source metric: sit_no_work_window_active (no-work fallback)
