window_id,window_start_us,window_end_us,window_us,resident_us,resident_compute_us,idle_us,memory_attributed_us,non_resident_us,sit_timeline_value,sit_timeline_source
0,0.000000,8.000000,8.000000,8.000000,7.672000,0.000000,0.328000,0.000000,0.959000000,Source metric: sit_no_work_window_active (no-work fallback)
1,8.000000,16.000000,8.000000,8.000000,6.185000,0.000000,1.815000,0.000000,0.773125000,Source metric: sit_no_work_window_active (no-work fallback)
2,16.000000,24.000000,8.000000,8.000000,7.747000,0.000000,0.253000,0.000000,0.968375000,Source metric: sit_no_work_window_active (no-work fallback)
3,24.000000,32.000000,8.000000,8.000000,7.790000,0.000000,0.210000,0.000000,0.973750000,Source metric: sit_no_work_window_active (no-work fallback)
4,32.000000,40.000000,8.000000,8.000000,5.761000,0.000000,2.239000,0.000000,0.720125000,Source metric: sit_no_work_window_active (no-work fallback)
5,40.000000,48.000000,8.000000,8.000000,7.782000,0.000000,0.218000,0.000000,0.972750000,Source metric: sit_no_work_window_active (no-work fallback)
6,48.000000,56.000000,8.000000,8.000000,6.101000,0.000000,1.899000,0.000000,0.762625000,Source metric: sit_no_work_window_active (no-work fallback)
7,56.000000,64.000000,8.000000,8.000000,7.753000,0.000000,0.247000,0.000000,0.969125000,Source metric: sit_no_work_window_active (no-work fallback)
8,64.000000,72.000000,8.000000,8.000000,7.729000,0.000000,0.271000,0.000000,0.966125000,Source metric: sit_no_work_window_active (no-work fallback)
9,72.000000,80.000000,8.000000,8.000000,6.129000,0.000000,1.871000,0.000000,0.766125000,Source metric: sit_no_work_window_active (no-work fallback)
10,80.000000,88.000000,8.000000,8.000000,7.806000,0.000000,0.194000,0.000000,0.975750000,Source metric: sit_no_work_window_active (no-work fallback)
11,88.000000,96.000000,8.000000,8.000000,6.082000,0.000000,1.918000,0.000000,0.760250000,Source metric: sit_no_work_window_active (no-work fallback)
12,96.000000,104.000000,8.000000,8.000000,7.719000,0.000000,0.281000,0.000000,0.964875000,Source metric: sit_no_work_window_active (no-work fallback)
13,104.000000,112.000000,8.000000,8.000000,6.452000,0.000000,1.548000,0.000000,0.806500000,Source metric: sit_no_work_window_active (no-work fallback)
14,112.000000,120.000000,8.000000,8.000000,4.870000,0.000000,3.130000,0.000000,0.608750000,Source metric: sit_no_work_window_active (no-work fallback)
15,120.000000,128.000000,8.000000,1.762000,0.104999,0.000000,1.657001,6.238000,0.059591000,Source metric: sit_no_work_window_active (no-work fallback)
