start_us,end_us,duration_us,core,state
0.0,80.0,80.0,0,active
80.0,128.0,48.0,0,stall
128.0,208.0,80.0,0,active
208.0,256.0,48.0,0,stall
256.0,336.0,80.0,0,active
336.0,384.0,48.0,0,stall
384.0,464.0,80.0,0,active
464.0,512.0,48.0,0,stall
512.0,592.0,80.0,0,active
592.0,640.0,48.0,0,stall
640.0,720.0,80.0,0,active
720.0,768.0,48.0,0,stall
768.0,848.0,80.0,0,active
848.0,896.0,48.0,0,stall
896.0,976.0,80.0,0,active
976.0,1024.0,48.0,0,stall
0.0,20.0,20.0,1,active
20.0,80.0,60.0,1,idle
80.0,128.0,48.0,1,stall
128.0,148.0,20.0,1,active
148.0,208.0,60.0,1,idle
208.0,256.0,48.0,1,stall
256.0,276.0,20.0,1,active
276.0,336.0,60.0,1,idle
336.0,384.0,48.0,1,stall
384.0,404.0,20.0,1,active
404.0,464.0,60.0,1,idle
464.0,512.0,48.0,1,stall
512.0,532.0,20.0,1,active
532.0,592.0,60.0,1,idle
592.0,640.0,48.0,1,stall
640.0,660.0,20.0,1,active
660.0,720.0,60.0,1,idle
720.0,768.0,48.0,1,stall
768.0,788.0,20.0,1,active
788.0,848.0,60.0,1,idle
848.0,896.0,48.0,1,stall
896.0,916.0,20.0,1,active
916.0,976.0,60.0,1,idle
976.0,1024.0,48.0,1,stall
0.0,20.0,20.0,2,active
20.0,80.0,60.0,2,idle
80.0,128.0,48.0,2,stall
128.0,148.0,20.0,2,active
148.0,208.0,60.0,2,idle
208.0,256.0,48.0,2,stall
256.0,276.0,20.0,2,active
276.0,336.0,60.0,2,idle
336.0,384.0,48.0,2,stall
384.0,404.0,20.0,2,active
404.0,464.0,60.0,2,idle
464.0,512.0,48.0,2,stall
512.0,532.0,20.0,2,active
532.0,592.0,60.0,2,idle
592.0,640.0,48.0,2,stall
640.0,660.0,20.0,2,active
660.0,720.0,60.0,2,idle
720.0,768.0,48.0,2,stall
768.0,788.0,20.0,2,active
788.0,848.0,60.0,2,idle
848.0,896.0,48.0,2,stall
896.0,916.0,20.0,2,active
916.0,976.0,60.0,2,idle
976.0,1024.0,48.0,2,stall
0.0,20.0,20.0,3,active
20.0,80.0,60.0,3,idle
80.0,128.0,48.0,3,stall
128.0,148.0,20.0,3,active
148.0,208.0,60.0,3,idle
208.0,256.0,48.0,3,stall
256.0,276.0,20.0,3,active
276.0,336.0,60.0,3,idle
336.0,384.0,48.0,3,stall
384.0,404.0,20.0,3,active
404.0,464.0,60.0,3,idle
464.0,512.0,48.0,3,stall
512.0,532.0,20.0,3,active
532.0,592.0,60.0,3,idle
592.0,640.0,48.0,3,stall
640.0,660.0,20.0,3,active
660.0,720.0,60.0,3,idle
720.0,768.0,48.0,3,stall
768.0,788.0,20.0,3,active
788.0,848.0,60.0,3,idle
848.0,896.0,48.0,3,stall
896.0,916.0,20.0,3,active
916.0,976.0,60.0,3,idle
976.0,1024.0,48.0,3,stall
