core,window_id,window_start_us,window_end_us,resident_us,resident_frac_of_window,is_resident_window,active_frac,stall_frac,idle_frac,sit
0,1,256.0,512.0,212.0,0.828125,1,0.6226415094339622,0.37735849056603776,0.0,0.6226415094339622
0,2,512.0,768.0,256.0,1.0,1,1.0,0.0,0.0,1.0
0,3,768.0,1024.0,132.0,0.515625,1,1.0,0.0,0.0,1.0
1,1,256.0,512.0,212.0,0.828125,1,0.0,0.0,1.0,0.0
1,2,512.0,768.0,256.0,1.0,1,0.0,0.0,1.0,0.0
1,3,768.0,1024.0,132.0,0.515625,1,0.0,0.0,1.0,0.0
2,1,256.0,512.0,212.0,0.828125,1,0.0,0.0,1.0,0.0
2,2,512.0,768.0,256.0,1.0,1,0.0,0.0,1.0,0.0
2,3,768.0,1024.0,132.0,0.515625,1,0.0,0.0,1.0,0.0
3,1,256.0,512.0,212.0,0.828125,1,0.0,0.0,1.0,0.0
3,2,512.0,768.0,256.0,1.0,1,0.0,0.0,1.0,0.0
3,3,768.0,1024.0,132.0,0.515625,1,0.0,0.0,1.0,0.0
