core,window_id,window_start_us,window_end_us,resident_us,resident_frac_of_window,is_resident_window,active_frac,stall_frac,idle_frac,sit
0,1,256.0,512.0,212.0,0.828125,1,0.6037735849056604,0.0,0.39622641509433965,0.6037735849056604
0,2,512.0,768.0,256.0,1.0,1,0.5,0.0,0.5,0.5
0,3,768.0,1024.0,132.0,0.515625,1,0.48484848484848486,0.0,0.5151515151515151,0.48484848484848486
1,1,256.0,512.0,212.0,0.828125,1,0.0,0.0,1.0,0.0
1,2,512.0,768.0,256.0,1.0,1,0.0,0.0,1.0,0.0
1,3,768.0,1024.0,132.0,0.515625,1,0.0,0.0,1.0,0.0
2,1,256.0,512.0,212.0,0.828125,1,0.0,0.0,1.0,0.0
2,2,512.0,768.0,256.0,1.0,1,0.0,0.0,1.0,0.0
2,3,768.0,1024.0,132.0,0.515625,1,0.0,0.0,1.0,0.0
3,1,256.0,512.0,212.0,0.828125,1,0.0,0.0,1.0,0.0
3,2,512.0,768.0,256.0,1.0,1,0.0,0.0,1.0,0.0
3,3,768.0,1024.0,132.0,0.515625,1,0.0,0.0,1.0,0.0
