core,window_id,window_start_us,window_end_us,resident_us,resident_frac_of_window,is_resident_window,active_frac,stall_frac,idle_frac,sit
0,0,0.0,256.0,256.0,1.0,1,0.625,0.375,0.0,0.625
0,1,256.0,512.0,256.0,1.0,1,0.625,0.375,0.0,0.625
0,2,512.0,768.0,256.0,1.0,1,0.625,0.375,0.0,0.625
0,3,768.0,1024.0,256.0,1.0,1,0.625,0.375,0.0,0.625
1,0,0.0,256.0,256.0,1.0,1,0.15625,0.375,0.46875,0.15625
1,1,256.0,512.0,256.0,1.0,1,0.15625,0.375,0.46875,0.15625
1,2,512.0,768.0,256.0,1.0,1,0.15625,0.375,0.46875,0.15625
1,3,768.0,1024.0,256.0,1.0,1,0.15625,0.375,0.46875,0.15625
2,0,0.0,256.0,256.0,1.0,1,0.15625,0.375,0.46875,0.15625
2,1,256.0,512.0,256.0,1.0,1,0.15625,0.375,0.46875,0.15625
2,2,512.0,768.0,256.0,1.0,1,0.15625,0.375,0.46875,0.15625
2,3,768.0,1024.0,256.0,1.0,1,0.15625,0.375,0.46875,0.15625
3,0,0.0,256.0,256.0,1.0,1,0.15625,0.375,0.46875,0.15625
3,1,256.0,512.0,256.0,1.0,1,0.15625,0.375,0.46875,0.15625
3,2,512.0,768.0,256.0,1.0,1,0.15625,0.375,0.46875,0.15625
3,3,768.0,1024.0,256.0,1.0,1,0.15625,0.375,0.46875,0.15625
