core,window_id,window_start_us,window_end_us,resident_us,resident_frac_of_window,is_resident_window,active_frac,stall_frac,idle_frac,sit
0,1,256.0,512.0,212.0,0.828125,1,0.5471698113207547,0.4528301886792453,0.0,0.5471698113207547
0,2,512.0,768.0,256.0,1.0,1,0.625,0.375,0.0,0.625
0,3,768.0,1024.0,132.0,0.515625,1,0.6363636363636364,0.36363636363636365,0.0,0.6363636363636364
1,1,256.0,512.0,212.0,0.828125,1,0.09433962264150944,0.4528301886792453,0.4528301886792453,0.09433962264150944
1,2,512.0,768.0,256.0,1.0,1,0.15625,0.375,0.46875,0.15625
1,3,768.0,1024.0,132.0,0.515625,1,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.18181818181818182
2,1,256.0,512.0,212.0,0.828125,1,0.09433962264150944,0.4528301886792453,0.4528301886792453,0.09433962264150944
2,2,512.0,768.0,256.0,1.0,1,0.15625,0.375,0.46875,0.15625
2,3,768.0,1024.0,132.0,0.515625,1,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.18181818181818182
3,1,256.0,512.0,212.0,0.828125,1,0.09433962264150944,0.4528301886792453,0.4528301886792453,0.09433962264150944
3,2,512.0,768.0,256.0,1.0,1,0.15625,0.375,0.46875,0.15625
3,3,768.0,1024.0,132.0,0.515625,1,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.18181818181818182
