start_us,end_us,core,state
39549224877.0,39549224996.0,0,active
39549224996.0,39549225004.0,0,active
39549224996.0,39549225004.0,0,idle
39549225004.0,39549225011.0,0,active
39549225004.0,39549225011.0,0,idle
39549225011.0,39549225018.0,0,active
39549225011.0,39549225018.0,0,idle
39549225018.0,39549225025.0,0,active
39549225018.0,39549225025.0,0,idle
39549225025.0,39549225032.0,0,active
39549225025.0,39549225032.0,0,idle
39549225032.0,39549225038.0,0,idle
39549225032.0,39549225038.0,0,active
39549225038.0,39549225045.0,0,active
39549225038.0,39549225045.0,0,idle
39549225045.0,39549225052.0,0,active
39549225045.0,39549225052.0,0,idle
39549225052.0,39549225058.0,0,active
39549225052.0,39549225058.0,0,idle
39549225058.0,39549225066.0,0,active
39549225058.0,39549225066.0,0,idle
39549225066.0,39549225073.0,0,active
39549225066.0,39549225073.0,0,idle
39549225073.0,39549225080.0,0,idle
39549225073.0,39549225080.0,0,active
39549225080.0,39549225087.0,0,active
39549225080.0,39549225087.0,0,idle
39549225087.0,39549225094.0,0,active
39549225087.0,39549225094.0,0,idle
39549225094.0,39549225100.0,0,active
39549225094.0,39549225100.0,0,idle
39549225100.0,39549225107.0,0,active
39549225100.0,39549225107.0,0,idle
39549225107.0,39549225114.0,0,active
39549225107.0,39549225114.0,0,idle
39549225114.0,39549225121.0,0,idle
39549225114.0,39549225121.0,0,active
39549225121.0,39549225128.0,0,active
39549225121.0,39549225128.0,0,idle
39549225128.0,39549225135.0,0,active
39549225128.0,39549225135.0,0,idle
39549225135.0,39549225143.0,0,active
39549225135.0,39549225143.0,0,idle
39549225143.0,39549225176.0,0,active
39549225143.0,39549225176.0,0,idle
39549225176.0,39549225184.0,0,active
39549225176.0,39549225184.0,0,idle
39549225184.0,39549225191.0,0,idle
39549225184.0,39549225191.0,0,active
39549225191.0,39549225198.0,0,idle
39549225191.0,39549225198.0,0,active
39549225198.0,39549225205.0,0,active
39549225198.0,39549225205.0,0,idle
39549225205.0,39549225212.0,0,active
39549225205.0,39549225212.0,0,idle
39549225212.0,39549225219.0,0,active
39549225212.0,39549225219.0,0,idle
39549225219.0,39549225226.0,0,active
39549225219.0,39549225226.0,0,idle
39549225226.0,39549225233.0,0,active
39549225226.0,39549225233.0,0,idle
39549225233.0,39549225240.0,0,idle
39549225233.0,39549225240.0,0,active
39549225240.0,39549225247.0,0,active
39549225240.0,39549225247.0,0,idle
39549225247.0,39549225254.0,0,active
39549225247.0,39549225254.0,0,idle
39549225254.0,39549225262.0,0,active
39549225254.0,39549225262.0,0,idle
39549225262.0,39549225269.0,0,active
39549225262.0,39549225269.0,0,idle
39549225269.0,39549225276.0,0,active
39549225269.0,39549225276.0,0,idle
39549225276.0,39549225283.0,0,idle
39549225276.0,39549225283.0,0,active
39549225283.0,39549225290.0,0,active
39549225283.0,39549225290.0,0,idle
39549225290.0,39549225297.0,0,active
39549225290.0,39549225297.0,0,idle
39549225297.0,39549225307.0,0,active
39549225297.0,39549225307.0,0,idle
39549225307.0,39549225314.0,0,active
39549225307.0,39549225314.0,0,idle
39549225314.0,39549225321.0,0,active
39549225314.0,39549225321.0,0,idle
39549225321.0,39549225329.0,0,idle
39549225321.0,39549225329.0,0,active
39549225329.0,39549225336.0,0,active
39549225329.0,39549225336.0,0,idle
39549225336.0,39549225344.0,0,active
39549225336.0,39549225344.0,0,idle
39549225344.0,39549225351.0,0,active
39549225344.0,39549225351.0,0,idle
39549225351.0,39549225358.0,0,active
39549225351.0,39549225358.0,0,idle
39549225358.0,39549225367.0,0,active
39549225358.0,39549225367.0,0,idle
39549225367.0,39549225376.0,0,active
39549225367.0,39549225376.0,0,idle
39549225376.0,39549225384.0,0,idle
39549225376.0,39549225384.0,0,active
39549225384.0,39549225393.0,0,active
39549225384.0,39549225393.0,0,idle
39549225393.0,39549225402.0,0,active
39549225393.0,39549225402.0,0,idle
39549225402.0,39549225411.0,0,active
39549225402.0,39549225411.0,0,idle
39549225411.0,39549225420.0,0,active
39549225411.0,39549225420.0,0,idle
39549225420.0,39549225429.0,0,active
39549225420.0,39549225429.0,0,idle
39549225429.0,39549225438.0,0,idle
39549225429.0,39549225438.0,0,active
39549225438.0,39549225447.0,0,active
39549225438.0,39549225447.0,0,idle
39549225447.0,39549225481.0,0,active
39549225447.0,39549225481.0,0,idle
39549225481.0,39549225489.0,0,active
39549225481.0,39549225489.0,0,idle
39549225489.0,39549225497.0,0,active
39549225489.0,39549225497.0,0,idle
39549225497.0,39549225504.0,0,active
39549225497.0,39549225504.0,0,idle
39549225504.0,39549225511.0,0,idle
39549225504.0,39549225511.0,0,active
39549225511.0,39549225518.0,0,active
39549225511.0,39549225518.0,0,idle
39549225518.0,39549225525.0,0,active
39549225518.0,39549225525.0,0,idle
39549225525.0,39549225531.0,0,active
39549225525.0,39549225531.0,0,idle
39549225531.0,39549225538.0,0,active
39549225531.0,39549225538.0,0,idle
39549225538.0,39549225545.0,0,active
39549225538.0,39549225545.0,0,idle
39549225545.0,39549225552.0,0,idle
39549225545.0,39549225552.0,0,active
39549225552.0,39549225559.0,0,active
39549225552.0,39549225559.0,0,idle
39549225559.0,39549225566.0,0,active
39549225559.0,39549225566.0,0,idle
39549225566.0,39549225572.0,0,active
39549225566.0,39549225572.0,0,idle
39549225572.0,39549225579.0,0,active
39549225572.0,39549225579.0,0,idle
39549225579.0,39549225586.0,0,active
39549225579.0,39549225586.0,0,idle
39549225586.0,39549225594.0,0,idle
39549225586.0,39549225594.0,0,active
39549225594.0,39549225600.0,0,idle
39549225594.0,39549225600.0,0,active
39549225600.0,39549225607.0,0,active
39549225600.0,39549225607.0,0,idle
39549225607.0,39549225614.0,0,active
39549225607.0,39549225614.0,0,idle
39549225614.0,39549225621.0,0,active
39549225614.0,39549225621.0,0,idle
39549225621.0,39549225628.0,0,active
39549225621.0,39549225628.0,0,idle
39549225628.0,39549225635.0,0,active
39549225628.0,39549225635.0,0,idle
39549225635.0,39549225643.0,0,idle
39549225635.0,39549225643.0,0,active
39549225643.0,39549225650.0,0,active
39549225643.0,39549225650.0,0,idle
39549225650.0,39549225658.0,0,active
39549225650.0,39549225658.0,0,idle
39549225658.0,39549225665.0,0,active
39549225658.0,39549225665.0,0,idle
39549225665.0,39549225672.0,0,active
39549225665.0,39549225672.0,0,idle
39549225672.0,39549225680.0,0,active
39549225672.0,39549225680.0,0,idle
39549225680.0,39549225687.0,0,idle
39549225680.0,39549225687.0,0,active
39549225687.0,39549225694.0,0,active
39549225687.0,39549225694.0,0,idle
39549225694.0,39549225701.0,0,active
39549225694.0,39549225701.0,0,idle
39549225701.0,39549225709.0,0,active
