start_us,end_us,core,state
41756241226.0,41756241360.0,0,active
41756241360.0,41756241370.0,0,active
41756241360.0,41756241370.0,0,idle
41756241370.0,41756241412.0,0,active
41756241412.0,41756241425.0,0,active
41756241412.0,41756241425.0,0,idle
41756241425.0,41756241463.0,0,active
41756241463.0,41756241474.0,0,active
41756241463.0,41756241474.0,0,idle
41756241474.0,41756241509.0,0,active
41756241509.0,41756241519.0,0,idle
41756241509.0,41756241519.0,0,active
41756241519.0,41756241534.0,0,active
41756241519.0,41756241534.0,0,idle
41756241534.0,41756241543.0,0,active
41756241534.0,41756241543.0,0,idle
41756241543.0,41756241560.0,0,active
41756241543.0,41756241560.0,0,idle
41756241560.0,41756241568.0,0,active
41756241560.0,41756241568.0,0,idle
41756241568.0,41756241582.0,0,active
41756241568.0,41756241582.0,0,idle
41756241582.0,41756241590.0,0,idle
41756241582.0,41756241590.0,0,active
41756241590.0,41756241610.0,0,active
41756241590.0,41756241610.0,0,idle
41756241610.0,41756241631.0,0,active
41756241610.0,41756241631.0,0,idle
41756241631.0,41756241649.0,0,active
41756241631.0,41756241649.0,0,idle
41756241649.0,41756241657.0,0,active
41756241649.0,41756241657.0,0,idle
41756241657.0,41756241671.0,0,active
41756241657.0,41756241671.0,0,idle
41756241671.0,41756241679.0,0,idle
41756241671.0,41756241679.0,0,active
41756241679.0,41756241687.0,0,active
41756241679.0,41756241687.0,0,idle
41756241687.0,41756241712.0,0,active
41756241687.0,41756241712.0,0,idle
41756241712.0,41756241718.0,0,active
41756241712.0,41756241718.0,0,idle
41756241718.0,41756241735.0,0,active
41756241718.0,41756241735.0,0,idle
41756241735.0,41756241742.0,0,active
41756241735.0,41756241742.0,0,idle
41756241742.0,41756241762.0,0,active
41756241742.0,41756241762.0,0,idle
41756241762.0,41756241770.0,0,idle
41756241762.0,41756241770.0,0,active
41756241770.0,41756241787.0,0,active
41756241770.0,41756241787.0,0,idle
41756241787.0,41756241795.0,0,active
41756241787.0,41756241795.0,0,idle
41756241795.0,41756241800.0,0,active
41756241800.0,41756241819.0,0,active
41756241800.0,41756241819.0,0,idle
41756241819.0,41756241827.0,0,active
41756241819.0,41756241827.0,0,idle
41756241827.0,41756241831.0,0,active
41756241831.0,41756241847.0,0,idle
41756241831.0,41756241847.0,0,active
41756241847.0,41756241861.0,0,active
41756241847.0,41756241861.0,0,idle
41756241861.0,41756241869.0,0,active
41756241861.0,41756241869.0,0,idle
41756241869.0,41756241882.0,0,active
41756241869.0,41756241882.0,0,idle
41756241882.0,41756241896.0,0,active
41756241882.0,41756241896.0,0,idle
41756241896.0,41756241909.0,0,active
41756241896.0,41756241909.0,0,idle
41756241909.0,41756241922.0,0,idle
41756241909.0,41756241922.0,0,active
41756241922.0,41756241935.0,0,active
41756241922.0,41756241935.0,0,idle
41756241935.0,41756241948.0,0,active
41756241935.0,41756241948.0,0,idle
41756241948.0,41756241962.0,0,active
41756241948.0,41756241962.0,0,idle
41756241962.0,41756241975.0,0,active
41756241962.0,41756241975.0,0,idle
41756241975.0,41756241988.0,0,active
41756241975.0,41756241988.0,0,idle
41756241988.0,41756242001.0,0,idle
41756241988.0,41756242001.0,0,active
41756242001.0,41756242015.0,0,active
41756242001.0,41756242015.0,0,idle
41756242015.0,41756242030.0,0,active
41756242015.0,41756242030.0,0,idle
41756242030.0,41756242049.0,0,active
41756242030.0,41756242049.0,0,idle
41756242049.0,41756242063.0,0,active
41756242049.0,41756242063.0,0,idle
41756242063.0,41756242068.0,0,active
41756242068.0,41756242079.0,0,active
41756242068.0,41756242079.0,0,idle
