start_us,end_us,core,state
41241747580.0,41241747745.0,0,active
41241747745.0,41241747769.0,0,active
41241747745.0,41241747769.0,0,idle
41241747769.0,41241747778.0,0,active
41241747769.0,41241747778.0,0,idle
41241747778.0,41241747785.0,0,active
41241747778.0,41241747785.0,0,idle
41241747785.0,41241747843.0,0,active
41241747843.0,41241747861.0,0,idle
41241747843.0,41241747861.0,0,active
41241747861.0,41241747865.0,0,stall
41241747865.0,41241747872.0,0,stall
41241747865.0,41241747872.0,0,idle
41241747872.0,41241747875.0,0,active
41241747875.0,41241747879.0,0,stall
41241747879.0,41241747891.0,0,stall
41241747879.0,41241747891.0,0,idle
41241747891.0,41241747894.0,0,stall
41241747894.0,41241747898.0,0,stall
41241747898.0,41241747901.0,0,stall
41241747901.0,41241747912.0,0,stall
41241747901.0,41241747912.0,0,idle
41241747912.0,41241747917.0,0,stall
41241747917.0,41241747932.0,0,stall
41241747917.0,41241747932.0,0,idle
41241747932.0,41241747935.0,0,stall
41241747935.0,41241747942.0,0,idle
41241747935.0,41241747942.0,0,stall
41241747942.0,41241747945.0,0,active
41241747945.0,41241747956.0,0,stall
41241747945.0,41241747956.0,0,idle
41241747956.0,41241747959.0,0,stall
41241747959.0,41241747963.0,0,stall
41241747963.0,41241747966.0,0,stall
41241747966.0,41241747987.0,0,idle
41241747966.0,41241747987.0,0,stall
41241747987.0,41241747991.0,0,stall
41241747991.0,41241747995.0,0,stall
41241747995.0,41241748076.0,0,stall
41241747995.0,41241748076.0,0,idle
41241748076.0,41241748080.0,0,active
41241748080.0,41241748084.0,0,stall
41241748084.0,41241748091.0,0,stall
41241748084.0,41241748091.0,0,idle
41241748091.0,41241748126.0,0,active
41241748091.0,41241748126.0,0,idle
41241748126.0,41241748133.0,0,stall
41241748126.0,41241748133.0,0,idle
41241748133.0,41241748137.0,0,stall
41241748137.0,41241748141.0,0,stall
41241748141.0,41241748147.0,0,stall
41241748141.0,41241748147.0,0,idle
41241748147.0,41241748174.0,0,active
41241748174.0,41241748199.0,0,active
41241748199.0,41241748209.0,0,active
41241748199.0,41241748209.0,0,idle
41241748209.0,41241748219.0,0,active
41241748209.0,41241748219.0,0,idle
41241748219.0,41241748227.0,0,stall
41241748219.0,41241748227.0,0,idle
41241748227.0,41241748237.0,0,stall
41241748227.0,41241748237.0,0,idle
41241748237.0,41241748245.0,0,active
41241748237.0,41241748245.0,0,idle
41241748245.0,41241748256.0,0,stall
41241748245.0,41241748256.0,0,idle
41241748256.0,41241748264.0,0,stall
41241748256.0,41241748264.0,0,idle
41241748264.0,41241748274.0,0,idle
41241748264.0,41241748274.0,0,stall
41241748274.0,41241748284.0,0,active
41241748274.0,41241748284.0,0,idle
41241748284.0,41241748300.0,0,stall
41241748284.0,41241748300.0,0,idle
41241748300.0,41241748304.0,0,stall
41241748304.0,41241748315.0,0,stall
41241748304.0,41241748315.0,0,idle
41241748315.0,41241748317.0,0,stall
41241748317.0,41241748320.0,0,stall
41241748320.0,41241748322.0,0,stall
41241748322.0,41241748327.0,0,stall
41241748327.0,41241748339.0,0,stall
41241748327.0,41241748339.0,0,idle
41241748339.0,41241748346.0,0,stall
41241748339.0,41241748346.0,0,idle
41241748346.0,41241748349.0,0,stall
41241748349.0,41241748366.0,0,idle
41241748349.0,41241748366.0,0,stall
41241748366.0,41241748369.0,0,stall
41241748369.0,41241748373.0,0,stall
41241748373.0,41241748426.0,0,stall
41241748373.0,41241748426.0,0,idle
41241748426.0,41241748435.0,0,active
41241748426.0,41241748435.0,0,idle
41241748435.0,41241748437.0,0,stall
41241748437.0,41241748440.0,0,stall
41241748440.0,41241748442.0,0,stall
41241748442.0,41241748454.0,0,stall
41241748442.0,41241748454.0,0,idle
41241748454.0,41241748456.0,0,active
41241748456.0,41241748458.0,0,stall
41241748458.0,41241748466.0,0,stall
41241748458.0,41241748466.0,0,idle
41241748466.0,41241748468.0,0,stall
41241748468.0,41241748471.0,0,stall
41241748471.0,41241748477.0,0,stall
41241748471.0,41241748477.0,0,idle
41241748477.0,41241748479.0,0,stall
41241748479.0,41241748481.0,0,stall
41241748481.0,41241748483.0,0,stall
41241748483.0,41241748492.0,0,stall
41241748483.0,41241748492.0,0,idle
41241748492.0,41241748494.0,0,stall
41241748494.0,41241748497.0,0,stall
41241748497.0,41241748499.0,0,stall
41241748499.0,41241748502.0,0,stall
41241748502.0,41241748525.0,0,stall
41241748502.0,41241748525.0,0,idle
41241748525.0,41241748530.0,0,stall
41241748530.0,41241748534.0,0,stall
41241748534.0,41241748544.0,0,idle
41241748534.0,41241748544.0,0,stall
41241748544.0,41241748552.0,0,stall
41241748544.0,41241748552.0,0,idle
41241748552.0,41241748560.0,0,active
41241748552.0,41241748560.0,0,idle
41241748560.0,41241748571.0,0,stall
41241748560.0,41241748571.0,0,idle
41241748571.0,41241748581.0,0,active
41241748571.0,41241748581.0,0,idle
41241748581.0,41241748587.0,0,active
41241748581.0,41241748587.0,0,idle
41241748587.0,41241748592.0,0,stall
41241748592.0,41241748595.0,0,stall
41241748595.0,41241748601.0,0,stall
41241748595.0,41241748601.0,0,idle
41241748601.0,41241748606.0,0,stall
41241748606.0,41241748616.0,0,idle
41241748606.0,41241748616.0,0,stall
41241748616.0,41241748622.0,0,stall
41241748616.0,41241748622.0,0,idle
41241748622.0,41241748630.0,0,stall
41241748622.0,41241748630.0,0,idle
41241748630.0,41241748640.0,0,active
41241748630.0,41241748640.0,0,idle
41241748640.0,41241748643.0,0,stall
41241748643.0,41241748647.0,0,stall
41241748647.0,41241748653.0,0,idle
41241748647.0,41241748653.0,0,stall
41241748653.0,41241748657.0,0,stall
41241748657.0,41241748660.0,0,stall
41241748660.0,41241748668.0,0,stall
41241748660.0,41241748668.0,0,idle
41241748668.0,41241748673.0,0,stall
41241748673.0,41241748676.0,0,stall
41241748676.0,41241748684.0,0,idle
41241748676.0,41241748684.0,0,stall
41241748684.0,41241748688.0,0,stall
41241748688.0,41241748693.0,0,stall
